trade_id,strategy,contain,direction,entry_time,entry_price,exit_time,exit_price,bars_held,price_change_%,contract_return_%,pnl_usdt,cum_pnl_usdt,trailing_activated,weak,highest,lowest,trail_price_at_exit,k1_open,k1_high,k1_low,k1_close,k2_open,k2_high,k2_low,k2_close
523,rule1,否,做空,2025-05-15 02:14,2584.37,2025-05-15 15:44,2529.54,53,2.121,297.00,4.7520,1055.5872,是,是,2647.03,2529.03,,2579.20,2591.46,2577.00,2590.46,2590.46,2599.53,2581.89,2584.37
524,rule1,否,做多,2025-05-15 02:29,2592.27,2025-05-15 22:44,2567.25,80,-0.965,-135.15,-1.3515,1054.2357,是,是,2647.03,2486.82,,2590.46,2599.53,2581.89,2584.37,2584.37,2610.00,2579.94,2592.27
525,rule1,否,做多,2025-05-15 11:14,2585.75,2025-05-16 19:29,2640.60,128,2.121,297.00,2.9700,1057.2057,是,是,2649.31,2476.03,,2585.54,2598.02,2584.13,2591.13,2591.13,2594.65,2583.67,2585.75
526,rule1,否,做空,2025-05-15 18:29,2540.55,2025-05-15 22:59,2480.67,17,2.357,330.00,5.2800,1062.4857,否,否,2579.61,2476.03,,2539.31,2541.82,2522.81,2529.62,2529.62,2545.00,2528.91,2540.55
527,rule1,否,做多,2025-05-15 20:59,2553.00,2025-05-16 15:29,2607.16,73,2.121,297.00,11.8800,1074.3657,是,是,2619.99,2476.03,,2550.86,2579.61,2548.96,2566.24,2566.23,2567.00,2544.65,2553.00
528,rule1,否,做空,2025-05-16 01:29,2595.32,2025-05-16 02:44,2534.14,4,2.357,330.00,13.2000,1087.5657,否,否,2595.32,2524.68,,2599.06,2599.92,2580.78,2584.89,2584.90,2603.59,2584.90,2595.32
529,rule1,否,做空,2025-05-16 03:14,2541.27,2025-05-17 08:44,2487.36,117,2.121,297.00,11.8800,1099.4457,是,是,2649.31,2483.08,,2541.83,2543.87,2521.00,2525.00,2525.01,2544.42,2522.61,2541.27
530,rule1,否,做多,2025-05-16 03:29,2525.11,2025-05-16 12:14,2584.63,34,2.357,330.00,13.2000,1112.6457,否,否,2589.45,2512.06,,2525.01,2544.42,2522.61,2541.27,2541.26,2548.00,2511.77,2525.11
531,rule1,否,做空,2025-05-16 19:29,2625.43,2025-05-17 04:59,2563.54,37,2.357,330.00,3.3000,1115.9457,否,否,2628.30,2562.10,,2625.06,2634.00,2622.02,2630.59,2630.60,2649.31,2625.21,2625.43
532,rule1,否,做空,2025-05-16 21:29,2599.81,2025-05-17 06:59,2538.53,37,2.357,330.00,5.2800,1121.2257,否,否,2616.28,2529.40,,2598.50,2610.00,2594.50,2607.36,2607.36,2614.84,2599.46,2599.81
533,rule1,否,做空,2025-05-17 00:14,2588.00,2025-05-17 08:14,2527.00,31,2.357,330.00,3.3000,1124.5257,否,否,2595.25,2516.01,,2588.30,2595.84,2586.44,2594.93,2594.93,2602.01,2588.00,2588.00
534,rule1,否,做多,2025-05-17 05:44,2575.65,2025-05-17 09:59,2478.14,16,-3.786,-530.00,-21.2000,1103.3257,否,否,2577.20,2458.91,,2582.90,2582.90,2567.38,2568.31,2568.30,2578.00,2550.00,2575.65
535,rule1,否,做多,2025-05-17 09:29,2496.45,2025-05-18 22:14,2549.41,146,2.121,297.00,4.7520,1108.0777,是,是,2550.32,2446.42,,2501.01,2501.01,2486.41,2489.47,2489.48,2496.65,2478.99,2496.45
536,rule1,否,做多,2025-05-17 13:44,2489.44,2025-05-18 21:59,2542.25,128,2.121,297.00,4.7520,1112.8297,是,是,2545.00,2446.42,,2503.66,2506.53,2487.54,2495.62,2495.62,2497.69,2487.50,2489.44
537,rule1,否,做多,2025-05-17 14:44,2491.00,2025-05-18 21:59,2543.84,124,2.121,297.00,4.7520,1117.5817,是,是,2545.00,2446.42,,2496.20,2496.22,2484.00,2485.50,2485.50,2491.00,2482.20,2491.00
538,rule1,否,做空,2025-05-17 16:14,2487.27,2025-05-19 03:44,2434.50,141,2.121,297.00,2.9700,1120.5517,是,是,2587.61,2423.54,,2487.44,2492.90,2481.62,2492.89,2492.90,2493.93,2485.28,2487.27
539,rule1,否,做空,2025-05-18 22:14,2529.99,2025-05-19 02:14,2470.35,15,2.357,330.00,13.2000,1133.7517,否,否,2587.61,2455.27,,2518.09,2545.00,2514.32,2542.18,2542.19,2550.32,2529.56,2529.99
540,rule1,否,做空,2025-05-19 00:59,2573.80,2025-05-19 01:29,2513.13,1,2.357,330.00,3.3000,1137.0517,否,否,2575.50,2512.69,,2564.25,2574.18,2558.14,2570.28,2570.28,2583.14,2566.82,2573.80
541,rule1,否,做多,2025-05-19 07:29,2452.10,2025-05-19 07:59,2509.90,1,2.357,330.00,13.2000,1150.2517,否,否,2511.27,2447.80,,2454.90,2454.99,2436.22,2440.87,2440.87,2453.13,2435.64,2452.10
542,rule1,否,做多,2025-05-19 11:44,2383.52,2025-05-19 21:44,2439.70,39,2.357,330.00,3.3000,1153.5517,是,是,2441.00,2348.38,,2386.09,2399.63,2383.41,2392.32,2392.32,2395.99,2381.90,2383.52
543,rule1,否,做多,2025-05-19 12:59,2365.81,2025-05-19 16:29,2421.58,13,2.357,330.00,13.2000,1166.7517,否,否,2422.69,2348.38,,2394.47,2398.57,2365.03,2378.79,2378.79,2380.39,2352.00,2365.81
544,rule1,否,做空,2025-05-19 16:29,2406.10,2025-05-20 01:14,2483.52,34,-3.218,-450.50,-4.5050,1162.2467,是,是,2547.36,2383.80,,2403.74,2409.74,2390.12,2409.55,2409.54,2422.69,2404.71,2406.10
545,rule1,否,做空,2025-05-19 16:59,2405.02,2025-05-20 01:14,2482.41,32,-3.218,-450.50,-7.2080,1155.0387,是,是,2547.36,2383.80,,2406.11,2407.36,2394.69,2397.60,2397.59,2409.14,2396.20,2405.02
546,rule1,否,做多,2025-05-19 17:14,2401.10,2025-05-19 23:14,2457.70,23,2.357,330.00,5.2800,1160.3187,否,否,2460.40,2383.80,,2397.59,2409.14,2396.20,2405.02,2405.02,2412.82,2390.32,2401.10
547,rule1,否,做多,2025-05-20 01:44,2517.00,2025-05-20 10:29,2576.33,34,2.357,330.00,5.2800,1165.5987,否,否,2583.10,2472.20,,2518.62,2535.73,2516.99,2528.24,2528.24,2531.00,2512.80,2517.00
548,rule1,否,做多,2025-05-20 02:14,2511.50,2025-05-20 10:29,2570.70,32,2.357,330.00,5.2800,1170.8787,否,否,2583.10,2472.20,,2517.01,2521.74,2502.44,2505.00,2505.00,2516.09,2501.49,2511.50
549,rule1,否,做空,2025-05-20 08:29,2531.91,2025-05-20 21:44,2478.20,52,2.121,297.00,11.8800,1182.7587,是,是,2588.63,2467.41,,2528.14,2545.67,2522.92,2543.60,2543.60,2563.96,2529.85,2531.91
