trade_id,strategy,contain,direction,entry_time,entry_price,exit_time,exit_price,bars_held,price_change_%,contract_return_%,pnl_usdt,cum_pnl_usdt,trailing_activated,weak,highest,lowest,trail_price_at_exit,k1_open,k1_high,k1_low,k1_close,k2_open,k2_high,k2_low,k2_close
348,rule1,否,做多,2025-03-07 03:59,2147.89,2025-03-07 09:29,2198.52,21,2.357,330.00,3.3000,63.3674,否,否,2210.50,2144.59,,2159.86,2160.51,2147.66,2153.67,2153.67,2153.69,2146.51,2147.89
349,rule1,否,做多,2025-03-07 04:14,2150.89,2025-03-07 09:29,2201.59,20,2.357,330.00,3.3000,66.6674,否,否,2210.50,2147.04,,2153.67,2153.69,2146.51,2147.89,2147.90,2152.49,2144.59,2150.89
347,rule1,否,做多,2025-03-07 02:44,2174.30,2025-03-07 13:44,2220.43,43,2.121,297.00,11.8800,78.5474,是,是,2224.86,2144.59,,2176.38,2180.00,2161.81,2163.49,2163.50,2181.59,2159.44,2174.30
351,rule1,否,做多,2025-03-07 11:59,2197.49,2025-03-07 14:59,2249.29,11,2.357,330.00,3.3000,81.8474,否,否,2258.47,2165.79,,2200.50,2200.67,2191.97,2193.92,2193.93,2197.49,2190.22,2197.49
352,rule1,否,做多,2025-03-07 13:59,2188.53,2025-03-07 14:59,2240.12,3,2.357,330.00,13.2000,95.0474,否,否,2258.47,2177.00,,2192.19,2224.86,2185.96,2213.01,2213.00,2216.10,2180.73,2188.53
353,rule1,否,做空,2025-03-07 15:59,2209.68,2025-03-07 16:29,2157.59,1,2.357,330.00,13.2000,108.2474,否,否,2215.49,2156.31,,2210.49,2210.49,2180.95,2199.61,2199.61,2224.22,2193.53,2209.68
350,rule1,否,做空,2025-03-07 09:44,2196.48,2025-03-07 16:59,2144.71,28,2.357,330.00,13.2000,121.4474,否,否,2258.47,2144.31,,2194.25,2210.50,2189.72,2209.69,2209.69,2210.80,2195.00,2196.48
354,rule1,否,做多,2025-03-07 16:14,2196.20,2025-03-08 01:44,2125.53,37,-3.218,-450.50,-7.2080,114.2394,是,是,2202.56,2105.06,,2199.61,2224.22,2193.53,2209.68,2209.67,2215.49,2189.10,2196.20
356,rule1,否,做空,2025-03-07 17:59,2162.31,2025-03-08 01:44,2111.34,30,2.357,330.00,13.2000,127.4394,否,否,2202.56,2105.06,,2158.42,2172.99,2149.39,2171.29,2171.30,2184.80,2152.86,2162.31
355,rule1,否,做多,2025-03-07 17:29,2158.41,2025-03-08 03:59,2137.57,41,-0.965,-135.15,-1.3515,126.0879,是,是,2202.56,2105.06,,2158.42,2165.32,2145.85,2153.49,2153.50,2160.70,2141.53,2158.41
357,rule1,否,做空,2025-03-08 02:29,2134.21,2025-03-08 12:59,2154.81,41,-0.965,-135.15,-1.3515,124.7364,是,是,2173.69,2124.61,,2133.07,2139.55,2131.81,2139.20,2139.20,2141.00,2132.35,2134.21
358,rule1,否,做多,2025-03-08 02:44,2138.28,2025-03-08 13:29,2183.64,42,2.121,297.00,2.9700,127.7064,是,是,2189.23,2124.61,,2139.20,2141.00,2132.35,2134.21,2134.20,2138.29,2131.32,2138.28
359,rule1,否,做多,2025-03-09 06:29,2179.40,2025-03-09 14:29,2109.27,31,-3.218,-450.50,-7.2080,120.4984,是,是,2189.44,2098.33,,2182.89,2182.89,2173.21,2174.84,2174.85,2179.99,2171.84,2179.40
360,rule1,否,做空,2025-03-09 14:29,2115.01,2025-03-09 16:59,2065.16,9,2.357,330.00,3.3000,123.7984,否,否,2124.65,2041.99,,2104.48,2115.65,2098.33,2110.00,2110.00,2117.10,2104.76,2115.01
361,rule1,否,做空,2025-03-09 14:44,2110.06,2025-03-09 16:59,2060.32,8,2.357,330.00,3.3000,127.0984,否,否,2122.60,2041.99,,2110.00,2117.10,2104.76,2115.01,2115.00,2124.65,2110.00,2110.06
362,rule1,否,做多,2025-03-09 14:59,2117.50,2025-03-09 17:14,2037.34,8,-3.786,-530.00,-5.3000,121.7984,否,否,2122.60,2033.12,,2115.00,2124.65,2110.00,2110.06,2110.06,2118.09,2107.38,2117.50
363,rule1,否,做多,2025-03-09 15:44,2107.21,2025-03-09 17:29,2027.44,6,-3.786,-530.00,-8.4800,113.3184,否,否,2109.32,2021.89,,2122.30,2122.30,2107.03,2114.39,2114.39,2116.08,2103.36,2107.21
365,rule1,否,做空,2025-03-09 20:29,2043.90,2025-03-09 23:14,1995.72,10,2.357,330.00,13.2000,126.5184,否,否,2055.50,1989.66,,2040.47,2052.27,2036.61,2050.89,2050.89,2056.59,2041.49,2043.90
364,rule1,否,做多,2025-03-09 18:44,2019.01,2025-03-10 02:44,2066.60,31,2.357,330.00,5.2800,131.7984,否,否,2071.00,1989.66,,2021.49,2033.39,2007.15,2027.64,2027.63,2039.20,2006.10,2019.01
368,rule1,否,做多,2025-03-09 23:14,2018.29,2025-03-10 02:44,2065.86,13,2.357,330.00,13.2000,144.9984,否,否,2071.00,1995.08,,2023.52,2025.00,2006.76,2010.05,2010.05,2026.74,1989.66,2018.29
367,rule1,否,做多,2025-03-09 22:44,2023.51,2025-03-10 04:14,2071.21,21,2.357,330.00,5.2800,150.2784,否,否,2073.88,1989.66,,2023.70,2029.95,2009.00,2015.60,2015.59,2028.92,2006.20,2023.51
366,rule1,否,做多,2025-03-09 20:59,2047.03,2025-03-10 09:29,2090.46,49,2.121,297.00,4.7520,155.0304,是,是,2152.40,1989.66,,2043.89,2055.50,2043.50,2051.00,2050.99,2051.00,2040.79,2047.03
369,rule1,否,做空,2025-03-10 02:44,2061.18,2025-03-10 09:29,2139.21,26,-3.786,-530.00,-5.3000,149.7304,否,否,2152.40,2044.29,,2048.51,2065.74,2048.40,2053.69,2053.69,2071.00,2050.90,2061.18
370,rule1,否,做多,2025-03-10 07:44,2070.80,2025-03-10 09:29,2119.61,6,2.357,330.00,3.3000,153.0304,否,否,2152.40,2047.83,,2069.69,2074.93,2063.31,2064.41,2064.41,2072.70,2063.00,2070.80
