第一笔交易号,第一笔方向,第一笔入场,第一笔出场,第一笔收益%,第一笔结果,第二笔交易号,第二笔方向,第二笔入场,第二笔出场,第二笔收益%,第二笔结果,重叠类型,重叠开始,重叠结束,重叠时长(分钟),第一笔合约收益%,第二笔合约收益%,综合收益%
273,做空,2025-03-19 19:15:00,2025-03-19 20:30:00,0.667,止盈,274,做空,2025-03-19 19:45:00,2025-03-19 20:15:00,0.667,止盈,双倍做空,2025-03-19 19:45:00,2025-03-19 20:15:00,30.0,40.0,40.0,1.334
275,做空,2025-03-21 01:45:00,2025-03-21 18:30:00,0.667,止盈,276,做多,2025-03-21 11:15:00,2025-03-21 20:45:00,-1.667,止损,方向冲突,2025-03-21 11:15:00,2025-03-21 18:30:00,435.0,40.0,-100.0,-1.0
282,做多,2025-03-27 23:45:00,2025-03-28 05:30:00,0.667,止盈,283,做空,2025-03-28 02:45:00,2025-03-28 08:15:00,0.667,止盈,方向冲突,2025-03-28 02:45:00,2025-03-28 05:30:00,165.0,40.0,40.0,1.334
286,做空,2025-03-29 02:00:00,2025-03-29 09:30:00,-1.667,止损,287,做多,2025-03-29 05:00:00,2025-03-29 06:45:00,0.667,止盈,方向冲突,2025-03-29 05:00:00,2025-03-29 06:45:00,105.0,-100.0,40.0,-1.0
286,做空,2025-03-29 02:00:00,2025-03-29 09:30:00,-1.667,止损,288,做空,2025-03-29 07:00:00,2025-03-29 13:30:00,0.667,止盈,双倍做空,2025-03-29 07:00:00,2025-03-29 09:30:00,150.0,-100.0,40.0,-1.0
305,做多,2025-04-03 22:30:00,2025-04-03 23:30:00,0.667,止盈,306,做空,2025-04-03 23:00:00,2025-04-04 03:00:00,-1.667,止损,方向冲突,2025-04-03 23:00:00,2025-04-03 23:30:00,30.0,40.0,-100.0,-1.0
328,做多,2025-04-09 03:15:00,2025-04-09 04:30:00,0.667,止盈,329,做空,2025-04-09 03:45:00,2025-04-09 06:15:00,0.667,止盈,方向冲突,2025-04-09 03:45:00,2025-04-09 04:30:00,45.0,40.0,40.0,1.334
336,做空,2025-04-09 23:45:00,2025-04-10 01:15:00,-1.667,止损,337,做空,2025-04-10 00:15:00,2025-04-10 01:15:00,-1.667,止损,双倍做空,2025-04-10 00:15:00,2025-04-10 01:15:00,60.0,-100.0,-100.0,-3.334
343,做空,2025-04-11 02:30:00,2025-04-11 08:45:00,0.667,止盈,344,做空,2025-04-11 07:45:00,2025-04-11 08:45:00,0.667,止盈,双倍做空,2025-04-11 07:45:00,2025-04-11 08:45:00,60.0,40.0,40.0,1.334
346,做空,2025-04-12 00:45:00,2025-04-12 09:45:00,0.667,止盈,347,做空,2025-04-12 03:15:00,2025-04-12 09:00:00,0.667,止盈,双倍做空,2025-04-12 03:15:00,2025-04-12 09:00:00,345.0,40.0,40.0,1.334
