交易编号,策略类型,方向,入场时间,入场价格,出场时间,出场价格,持仓时长,价格变动%,合约收益%,盈亏USDT,累计资金USDT,结果,K1最高,K1最低,K2最高,K2最低
69,rule1,做空,2025-10-04 04:45,122447.94,2025-10-04 05:00,122451.81,15分钟,-0.003%,-0.16%,-0.0016,-0.3930,收盘价平仓,122673.40,122150.00,122734.92,122439.85
70,rule1,做多,2025-10-05 17:45,123020.50,2025-10-05 18:00,122859.47,15分钟,-0.131%,-6.54%,-0.0654,-0.4584,收盘价平仓,124026.30,122876.27,123270.00,122789.35
71,rule1,做空,2025-10-06 19:30,124299.96,2025-10-06 19:45,124215.00,15分钟,0.068%,3.42%,0.0342,-0.4243,收盘价平仓,124400.00,123735.73,124531.66,124083.83
72,rule2,做多,2025-10-07 03:15,125669.31,2025-10-07 03:30,125391.40,15分钟,-0.221%,-11.06%,-0.1106,-0.5348,收盘价平仓,126199.63,125434.69,126134.71,125648.01
73,rule1,做多,2025-10-07 21:45,123891.68,2025-10-07 22:00,122831.93,15分钟,-0.855%,-42.77%,-0.4277,-0.9625,收盘价平仓,124804.14,123643.33,123951.78,123288.00
74,rule2,做多,2025-10-07 22:30,122815.93,2025-10-07 22:45,122725.36,15分钟,-0.074%,-3.69%,-0.0369,-0.9994,收盘价平仓,124000.00,122750.00,123322.30,122772.46
75,rule1,做空,2025-10-08 00:45,121684.17,2025-10-08 01:00,121477.61,15分钟,0.170%,8.49%,0.0849,-0.9145,收盘价平仓,121855.17,121140.80,122084.14,121622.21
76,rule1,做空,2025-10-08 03:15,121270.00,2025-10-08 03:30,121382.64,15分钟,-0.093%,-4.64%,-0.0464,-0.9610,收盘价平仓,121560.66,120860.46,121590.00,121224.99
77,rule1,做空,2025-10-08 16:45,122381.85,2025-10-08 17:00,122561.77,15分钟,-0.147%,-7.35%,-0.0735,-1.0345,收盘价平仓,122821.25,121916.42,122850.00,122342.37
78,rule1,做多,2025-10-08 21:45,122599.04,2025-10-08 22:00,122825.01,15分钟,0.184%,9.22%,0.0922,-0.9423,收盘价平仓,122694.80,121700.00,122660.22,121649.68
79,rule1,做多,2025-10-09 05:00,123093.21,2025-10-09 05:15,123279.46,15分钟,0.151%,7.57%,0.0757,-0.8667,收盘价平仓,123385.45,122814.00,123162.85,122794.40
80,rule1,做多,2025-10-09 16:30,121330.12,2025-10-09 16:45,121261.62,15分钟,-0.056%,-2.82%,-0.0282,-0.8949,收盘价平仓,121734.21,121179.95,121612.00,121168.13
81,rule1,做空,2025-10-09 18:45,122170.27,2025-10-09 19:00,122246.81,15分钟,-0.063%,-3.13%,-0.0313,-0.9262,收盘价平仓,122314.37,121736.34,122340.00,122098.08
82,rule1,做多,2025-10-10 01:00,120261.36,2025-10-10 01:15,120259.08,15分钟,-0.002%,-0.09%,-0.0009,-0.9272,收盘价平仓,120877.14,119707.29,120369.00,119651.47
83,rule1,做空,2025-10-10 02:00,120762.60,2025-10-10 02:15,120696.90,15分钟,0.054%,2.72%,0.0272,-0.9000,收盘价平仓,121046.15,120417.96,121100.00,120678.77
84,rule1,做多,2025-10-10 23:30,119570.69,2025-10-10 23:45,119018.98,15分钟,-0.461%,-23.07%,-0.2307,-1.1307,收盘价平仓,120497.96,119250.00,119576.25,118500.00
85,rule1,做多,2025-10-11 00:00,118942.59,2025-10-11 00:15,119068.86,15分钟,0.106%,5.31%,0.0531,-1.0776,收盘价平仓,119600.00,118860.60,119243.69,118666.22
86,rule1,做空,2025-10-11 03:30,116923.96,2025-10-11 03:45,116661.50,15分钟,0.224%,11.22%,0.1122,-0.9654,收盘价平仓,116937.21,115952.47,116990.00,116000.00
87,rule1,做空,2025-10-11 03:45,116661.50,2025-10-11 04:00,116780.01,15分钟,-0.102%,-5.08%,-0.0508,-1.0162,收盘价平仓,116990.00,116000.00,117104.42,116574.59
88,rule1,做空,2025-10-11 05:30,110809.05,2025-10-11 05:45,113025.23,15分钟,-2.000%,-100.00%,-1.0000,-2.0162,止损,112510.92,102000.00,112660.64,107796.51
89,rule2,做空,2025-10-11 06:45,113700.00,2025-10-11 07:00,113050.99,15分钟,0.571%,28.54%,0.2854,-1.7307,收盘价平仓,113799.00,112000.00,113306.82,112054.45
90,rule1,做多,2025-10-11 09:30,111245.34,2025-10-11 09:45,111095.37,15分钟,-0.135%,-6.74%,-0.0674,-1.7982,收盘价平仓,112021.86,111166.20,111960.88,111163.65
91,rule1,做空,2025-10-11 10:45,113196.48,2025-10-11 11:00,112360.39,15分钟,0.739%,36.93%,0.3693,-1.4288,收盘价平仓,113232.21,112168.25,113297.92,112972.97
92,rule1,做多,2025-10-11 11:30,111880.48,2025-10-11 11:45,112300.01,15分钟,0.375%,18.75%,0.1875,-1.2414,收盘价平仓,112418.65,111863.04,112187.67,111800.00
93,rule1,做空,2025-10-12 05:30,110696.53,2025-10-12 05:45,110893.54,15分钟,-0.178%,-8.90%,-0.0890,-1.3303,收盘价平仓,110866.61,109933.60,110974.86,110584.01
94,rule1,做多,2025-10-12 22:00,111416.49,2025-10-12 22:15,111481.26,15分钟,0.058%,2.91%,0.0291,-1.3013,收盘价平仓,111837.94,111265.99,111498.12,111219.96
95,rule1,做空,2025-10-12 23:15,113169.49,2025-10-12 23:30,112671.65,15分钟,0.440%,22.00%,0.2200,-1.0813,收盘价平仓,113381.60,112078.00,113745.84,112889.87
96,rule1,做空,2025-10-13 00:45,114069.35,2025-10-13 01:00,114317.15,15分钟,-0.217%,-10.86%,-0.1086,-1.1899,收盘价平仓,114284.00,113372.33,114700.00,113900.50
97,rule1,做空,2025-10-13 03:15,114289.99,2025-10-13 03:30,114176.89,15分钟,0.099%,4.95%,0.0495,-1.1405,收盘价平仓,114362.01,113826.65,114390.97,114194.00
98,rule1,做空,2025-10-13 04:30,115105.33,2025-10-13 04:45,114927.97,15分钟,0.154%,7.70%,0.0770,-1.0634,收盘价平仓,115357.10,114562.00,115468.65,114946.49
99,rule1,做多,2025-10-13 22:30,114547.00,2025-10-13 22:45,114036.63,15分钟,-0.446%,-22.28%,-0.2228,-1.2862,收盘价平仓,115072.58,114177.80,114800.00,113972.00
100,rule1,做空,2025-10-14 02:00,114751.33,2025-10-14 02:15,115258.40,15分钟,-0.442%,-22.09%,-0.2209,-1.5071,收盘价平仓,115053.43,114215.79,115090.99,114710.00
101,rule1,做空,2025-10-14 02:30,115205.07,2025-10-14 02:45,115160.63,15分钟,0.039%,1.93%,0.0193,-1.4878,收盘价平仓,115311.39,114751.32,115377.48,114977.58
102,rule1,做多,2025-10-14 13:15,113031.91,2025-10-14 13:30,112492.48,15分钟,-0.477%,-23.86%,-0.2386,-1.7265,收盘价平仓,113691.00,112994.54,113548.00,112994.29
103,rule1,做多,2025-10-14 18:30,110377.22,2025-10-14 18:45,110623.58,15分钟,0.223%,11.16%,0.1116,-1.6149,收盘价平仓,110965.94,110348.11,110680.00,110012.24
104,rule2,做空,2025-10-15 00:15,112732.80,2025-10-15 00:30,112756.86,15分钟,-0.021%,-1.07%,-0.0107,-1.6255,收盘价平仓,112943.82,112112.89,112929.26,112284.96
105,rule1,做空,2025-10-15 02:15,113153.72,2025-10-15 02:30,112849.06,15分钟,0.269%,13.46%,0.1346,-1.4909,收盘价平仓,113368.85,112726.00,113450.00,113130.33
106,rule2,做空,2025-10-15 04:15,112810.01,2025-10-15 04:30,112874.97,15分钟,-0.058%,-2.88%,-0.0288,-1.5197,收盘价平仓,112818.15,112025.47,112780.00,112230.46
107,rule1,做空,2025-10-15 10:30,113030.64,2025-10-15 10:45,112809.94,15分钟,0.195%,9.76%,0.0976,-1.4221,收盘价平仓,113568.96,112860.12,113612.35,112993.75
108,rule1,做多,2025-10-15 23:45,110798.01,2025-10-16 00:00,110930.28,15分钟,0.119%,5.97%,0.0597,-1.3624,收盘价平仓,111376.29,110578.03,110798.01,110400.00
109,rule1,做多,2025-10-16 01:15,110404.11,2025-10-16 01:30,110716.88,15分钟,0.283%,14.16%,0.1416,-1.2207,收盘价平仓,110759.06,110248.28,110671.99,110164.00
