entry_time,exit_time,direction,size_usdt,entry_price,exit_price,leveraged_return_pct,pnl_usdt,holding_bars,weak,trailing_activated,trailing_exit,exit_type,k1_body_pct%,k2_body_ratio
2025-07-12 01:30,2025-07-12 12:45,long,1.60,2984.4100,2950.5156,-159.00,-2.5440,45,1,1,0,stop_loss,0.3457,0.5417
2025-07-12 02:30,2025-07-12 12:45,long,1.00,2990.8400,2956.8726,-159.00,-1.5900,41,1,1,0,stop_loss,0.2916,0.6426
2025-07-12 05:00,2025-07-12 20:15,long,1.00,2984.0600,2950.1696,-159.00,-1.5900,61,1,1,0,stop_loss,0.2515,1.2347
2025-07-12 14:15,2025-07-12 22:00,short,1.00,2955.3000,2946.2800,42.73,0.4273,31,1,1,1,trailing_stop,0.2164,1.3912
2025-07-12 20:45,2025-07-13 08:15,long,4.00,2943.3100,2946.5600,15.46,0.6184,46,1,1,1,trailing_stop,0.5039,0.6023
2025-07-13 01:00,2025-07-13 08:45,long,1.00,2930.9000,2944.8900,66.83,0.6683,31,1,1,1,trailing_stop,0.2643,0.8271
2025-07-13 05:00,2025-07-13 15:30,long,1.60,2924.1100,2963.2100,187.20,2.9952,42,0,1,1,trailing_stop,0.3913,0.6187
2025-07-14 19:15,2025-07-15 05:30,long,1.00,3063.1500,3028.3614,-159.00,-1.5900,41,1,1,0,stop_loss,0.2325,1.5077
2025-07-14 19:30,2025-07-15 05:45,long,1.60,3073.3000,3038.3961,-159.00,-2.5440,41,1,1,0,stop_loss,0.3497,0.9433
2025-07-15 04:45,2025-07-15 11:00,short,1.00,3003.9800,2933.1719,330.00,3.3000,25,0,0,0,take_profit,0.2165,0.6523
2025-07-15 16:15,2025-07-15 21:45,long,1.00,2974.8900,3045.0124,330.00,3.3000,22,0,0,0,take_profit,0.2851,0.6914
2025-07-15 22:15,2025-07-16 07:00,long,1.60,3047.8500,3119.6922,330.00,5.2800,35,0,0,0,take_profit,0.3700,1.3419
2025-07-15 23:15,2025-07-16 07:00,short,1.60,2998.6800,3095.1732,-450.50,-7.2080,31,1,1,0,stop_loss,0.4218,0.6521
2025-07-16 02:00,2025-07-16 10:30,long,1.00,3089.7200,3108.7800,86.36,0.8636,34,1,1,1,trailing_stop,0.2948,0.7231
2025-07-16 06:15,2025-07-16 16:30,short,1.00,3078.5000,3113.4630,-159.00,-1.5900,41,1,1,0,stop_loss,0.2623,0.7141
2025-07-16 17:45,2025-07-16 22:30,long,1.60,3162.2400,3236.7785,330.00,5.2800,19,0,0,0,take_profit,0.3720,0.8862
2025-07-16 15:00,2025-07-16 22:45,short,1.00,3156.5100,3258.0820,-450.50,-4.5050,31,1,1,0,stop_loss,0.2925,0.9437
2025-07-16 18:00,2025-07-17 00:30,short,1.60,3155.3900,3274.8440,-530.00,-8.4800,26,0,0,0,stop_loss,0.3309,0.6577
2025-07-16 20:45,2025-07-17 00:30,short,1.60,3164.9300,3284.7452,-530.00,-8.4800,15,0,0,0,stop_loss,0.3079,0.8142
2025-07-16 23:45,2025-07-17 02:30,short,1.60,3244.4900,3367.3171,-530.00,-8.4800,11,0,0,0,stop_loss,0.4595,0.8304
2025-07-17 00:45,2025-07-17 04:00,short,1.60,3285.2400,3409.6098,-530.00,-8.4800,13,0,0,0,stop_loss,0.4014,0.6595
2025-07-17 06:15,2025-07-17 14:15,long,1.60,3374.6300,3424.8000,208.14,3.3302,32,1,1,1,trailing_stop,0.3035,0.9385
2025-07-17 11:30,2025-07-17 14:15,long,1.60,3328.0000,3406.4457,330.00,5.2800,11,0,0,0,take_profit,0.3328,0.5780
2025-07-17 10:00,2025-07-17 17:15,short,1.00,3348.0100,3474.7561,-530.00,-5.3000,29,0,0,0,stop_loss,0.2918,1.0031
2025-07-17 10:30,2025-07-17 17:15,short,1.00,3349.5800,3476.3855,-530.00,-5.3000,27,0,0,0,stop_loss,0.2703,0.8276
2025-07-17 20:45,2025-07-18 04:30,short,4.00,3425.6100,3406.3400,78.75,3.1502,31,1,1,1,trailing_stop,0.6292,0.5300
2025-07-18 04:30,2025-07-18 08:45,short,1.00,3406.3400,3535.2943,-530.00,-5.3000,17,0,0,0,stop_loss,0.2422,0.5547
2025-07-18 02:30,2025-07-18 09:00,short,1.00,3426.9400,3556.6742,-530.00,-5.3000,26,0,0,0,stop_loss,0.2287,0.5326
2025-07-18 10:00,2025-07-18 17:45,long,1.60,3605.3600,3620.9100,60.38,0.9661,31,1,1,1,trailing_stop,0.3133,0.8441
2025-07-18 14:00,2025-07-18 22:00,long,4.00,3651.6300,3663.2500,44.55,1.7820,32,1,1,1,trailing_stop,0.5728,0.8746
2025-07-18 16:15,2025-07-18 23:15,short,1.00,3623.9000,3538.4795,330.00,3.3000,28,0,0,0,take_profit,0.2730,1.0132
2025-07-18 15:15,2025-07-19 01:30,long,1.00,3646.8000,3605.3828,-159.00,-1.5900,41,1,1,0,stop_loss,0.2854,0.6219
2025-07-19 00:45,2025-07-19 04:15,short,1.60,3573.1900,3488.9648,330.00,5.2800,14,0,0,0,take_profit,0.3009,0.9321
2025-07-20 05:15,2025-07-20 11:15,long,1.60,3559.1000,3642.9931,330.00,5.2800,24,0,0,0,take_profit,0.3398,0.6251
2025-07-20 13:30,2025-07-20 19:30,long,1.00,3645.2900,3731.2147,330.00,3.3000,24,0,0,0,take_profit,0.2601,0.6417
2025-07-20 12:30,2025-07-20 22:45,short,1.60,3648.5800,3690.0174,-159.00,-2.5440,41,1,1,0,stop_loss,0.3505,0.5936
2025-07-21 00:00,2025-07-21 06:15,short,1.60,3776.4800,3687.4630,330.00,5.2800,25,0,0,0,take_profit,0.4105,0.6189
2025-07-21 00:15,2025-07-21 10:30,long,1.00,3791.4900,3748.4295,-159.00,-1.5900,41,1,1,0,stop_loss,0.2530,1.5658
2025-07-21 04:45,2025-07-21 15:00,short,1.00,3740.1900,3782.6679,-159.00,-1.5900,41,1,1,0,stop_loss,0.2402,0.8664
2025-07-21 14:30,2025-07-21 23:45,long,1.60,3785.4700,3810.3700,92.09,1.4734,37,1,1,1,trailing_stop,0.4500,1.0616
2025-07-21 22:45,2025-07-22 00:15,short,1.60,3841.0200,3750.4817,330.00,5.2800,6,0,0,0,take_profit,0.3210,0.5443
2025-07-21 18:15,2025-07-22 02:30,short,1.00,3773.0500,3760.0000,48.42,0.4842,33,1,1,1,trailing_stop,0.2495,0.9022
2025-07-21 19:30,2025-07-22 03:30,short,1.60,3812.5300,3722.6632,330.00,5.2800,32,0,0,0,take_profit,0.3436,0.5336
2025-07-22 01:45,2025-07-22 09:45,long,4.00,3769.9000,3794.4300,91.10,3.6438,32,1,1,1,trailing_stop,0.5865,0.9900
2025-07-22 03:15,2025-07-22 11:00,short,4.00,3735.6100,3735.4100,0.75,0.0300,31,1,1,1,trailing_stop,0.7911,1.0382
2025-07-22 12:00,2025-07-22 16:15,short,1.60,3720.3700,3632.6756,330.00,5.2800,17,0,0,0,take_profit,0.4628,0.6259
2025-07-22 09:15,2025-07-22 19:30,long,4.00,3743.0100,3700.5001,-159.00,-6.3600,41,1,1,0,stop_loss,0.6214,1.0017
2025-07-22 22:00,2025-07-23 08:00,long,4.00,3670.7500,3736.8200,251.99,10.0795,40,0,1,1,trailing_stop,1.2172,0.5075
2025-07-22 22:30,2025-07-23 08:45,short,1.00,3674.4700,3716.2015,-159.00,-1.5900,41,1,1,0,stop_loss,0.2648,1.3817
2025-07-23 11:30,2025-07-23 17:30,short,1.60,3743.7500,3655.5045,330.00,5.2800,24,0,0,0,take_profit,0.3574,0.7659
2025-07-23 10:45,2025-07-23 21:00,long,1.60,3745.5600,3703.0211,-159.00,-2.5440,41,1,1,0,stop_loss,0.4686,0.7752
2025-07-23 17:00,2025-07-23 21:45,short,4.00,3681.4000,3594.6241,330.00,13.2000,19,0,0,0,take_profit,0.4834,0.5929
2025-07-23 22:45,2025-07-24 07:00,long,4.00,3616.4400,3626.4300,38.67,1.5469,33,1,1,1,trailing_stop,0.5105,0.7927
2025-07-23 23:00,2025-07-24 09:15,short,1.60,3598.3900,3639.2574,-159.00,-2.5440,41,1,1,0,stop_loss,0.4067,1.2314
2025-07-23 21:00,2025-07-24 10:45,long,1.60,3649.0400,3649.7900,2.88,0.0460,55,1,1,1,trailing_stop,0.3736,0.6447
2025-07-24 04:45,2025-07-24 14:30,short,1.00,3568.0000,3535.5100,127.48,1.2748,39,1,1,1,trailing_stop,0.2150,0.8201
2025-07-24 12:00,2025-07-24 15:00,long,4.00,3656.2700,3517.8541,-530.00,-21.2000,12,0,0,0,stop_loss,0.5444,0.7566
2025-07-25 03:45,2025-07-25 09:15,short,1.00,3732.7900,3644.8028,330.00,3.3000,22,0,0,0,take_profit,0.2275,0.6224
2025-07-25 00:45,2025-07-25 11:00,long,4.00,3686.6900,3644.8197,-159.00,-6.3600,41,1,1,0,stop_loss,0.5116,0.7110
2025-07-25 03:30,2025-07-25 11:30,long,1.60,3727.4900,3586.3779,-530.00,-8.4800,32,1,1,0,stop_loss,0.3303,0.6866
2025-07-25 05:30,2025-07-25 11:30,long,1.60,3726.6100,3585.5312,-530.00,-8.4800,24,0,0,0,stop_loss,0.3342,0.6063
2025-07-25 15:00,2025-07-25 17:30,long,1.00,3636.3300,3722.0435,330.00,3.3000,10,0,0,0,take_profit,0.2327,0.5573
2025-07-25 15:45,2025-07-25 17:30,long,4.00,3631.6700,3717.2737,330.00,13.2000,7,0,0,0,take_profit,0.4916,0.9054
2025-07-25 14:45,2025-07-25 22:45,short,1.60,3631.6100,3629.2300,9.17,0.1468,32,1,1,1,trailing_stop,0.4465,0.5235
2025-07-26 03:30,2025-07-26 13:45,short,1.00,3655.3300,3696.8441,-159.00,-1.5900,41,1,1,0,stop_loss,0.2963,1.0480
2025-07-26 05:45,2025-07-26 16:15,short,1.00,3719.8100,3762.0564,-159.00,-1.5900,42,1,1,0,stop_loss,0.2940,0.8976
2025-07-26 07:15,2025-07-26 17:45,short,1.00,3715.9900,3758.1930,-159.00,-1.5900,42,1,1,0,stop_loss,0.2890,0.6223
2025-07-27 23:15,2025-07-28 09:15,long,1.60,3805.3200,3860.3800,202.57,3.2411,40,0,1,1,trailing_stop,0.3000,0.6395
2025-07-28 12:00,2025-07-28 20:45,short,1.00,3872.3900,3871.0200,4.95,0.0495,35,1,1,1,trailing_stop,0.2885,0.6649
2025-07-28 06:45,2025-07-28 21:00,short,1.60,3864.1300,3858.9400,18.80,0.3009,57,1,1,1,trailing_stop,0.4736,0.5367
2025-07-28 18:00,2025-07-28 22:15,short,1.60,3882.4300,3790.9156,330.00,5.2800,17,0,0,0,take_profit,0.4180,0.7286
2025-07-28 22:00,2025-07-29 08:30,long,1.00,3836.6500,3793.0766,-159.00,-1.5900,42,1,1,0,stop_loss,0.2450,0.7331
2025-07-29 01:30,2025-07-29 09:30,short,1.00,3792.2100,3786.0700,22.67,0.2267,32,1,1,1,trailing_stop,0.2452,1.1484
2025-07-29 03:45,2025-07-29 13:30,long,4.00,3797.3600,3799.3800,7.45,0.2979,39,1,1,1,trailing_stop,0.7201,0.9218
2025-07-29 01:15,2025-07-29 14:00,long,1.60,3802.8800,3810.5600,28.27,0.4524,51,1,1,1,trailing_stop,0.3394,0.7198
2025-07-29 10:15,2025-07-29 15:30,long,1.60,3758.8900,3847.4924,330.00,5.2800,21,0,0,0,take_profit,0.3121,1.0009
2025-07-29 09:30,2025-07-29 20:00,short,1.60,3786.0700,3829.0689,-159.00,-2.5440,42,1,1,0,stop_loss,0.3047,0.7936
2025-07-29 15:15,2025-07-30 00:15,short,1.60,3833.5500,3743.1878,330.00,5.2800,36,0,0,0,take_profit,0.3307,0.6248
2025-07-29 21:30,2025-07-30 07:45,long,1.60,3853.5100,3809.7451,-159.00,-2.5440,41,1,1,0,stop_loss,0.3802,0.7999
2025-07-29 22:30,2025-07-30 08:45,long,1.00,3807.8800,3764.6334,-159.00,-1.5900,41,1,1,0,stop_loss,0.2822,1.1795
2025-07-30 00:45,2025-07-30 11:00,short,1.00,3751.4500,3794.0558,-159.00,-1.5900,41,1,1,0,stop_loss,0.2692,1.3578
2025-07-30 04:15,2025-07-30 14:30,short,1.60,3765.1500,3807.9113,-159.00,-2.5440,41,1,1,0,stop_loss,0.4097,0.9527
2025-07-30 08:00,2025-07-30 15:45,long,1.00,3788.1100,3811.4400,86.22,0.8622,31,1,1,1,trailing_stop,0.2166,0.6927
2025-07-30 13:15,2025-07-30 22:45,long,1.60,3809.4200,3819.5200,37.12,0.5939,38,1,1,1,trailing_stop,0.4198,1.0544
2025-07-30 21:30,2025-07-31 07:30,long,1.60,3766.7100,3805.5300,144.29,2.3086,40,1,1,1,trailing_stop,0.4036,0.6971
2025-07-30 23:00,2025-07-31 07:30,long,4.00,3791.1500,3805.5300,53.10,2.1241,34,1,1,1,trailing_stop,0.6408,1.1665
2025-07-31 00:45,2025-07-31 11:00,long,1.60,3795.9200,3860.6300,238.66,3.8186,41,0,1,1,trailing_stop,0.3058,0.6773
2025-07-31 01:45,2025-07-31 11:45,long,1.00,3805.1400,3863.3100,214.02,2.1402,40,0,1,1,trailing_stop,0.2256,0.8240
2025-07-31 23:45,2025-08-01 08:45,long,1.00,3788.3800,3644.9628,-530.00,-5.3000,36,1,1,0,stop_loss,0.2971,0.5845
2025-08-01 08:45,2025-08-01 19:00,long,4.00,3682.1000,3640.2819,-159.00,-6.3600,41,1,1,0,stop_loss,0.5758,0.6047
2025-08-01 13:15,2025-08-01 23:30,long,1.00,3678.9100,3637.1281,-159.00,-1.5900,41,1,1,0,stop_loss,0.2363,1.3655
2025-08-01 16:30,2025-08-02 00:15,long,1.00,3618.5200,3626.5300,30.99,0.3099,31,1,1,1,trailing_stop,0.2219,1.5723
2025-08-01 16:45,2025-08-02 00:45,short,1.60,3609.4300,3587.9200,83.43,1.3349,32,1,1,1,trailing_stop,0.3497,0.7209
2025-08-01 19:00,2025-08-02 05:15,long,1.00,3624.6800,3583.5140,-159.00,-1.5900,41,1,1,0,stop_loss,0.2376,1.1103
2025-08-02 04:15,2025-08-02 12:15,long,1.60,3524.1900,3527.3000,12.35,0.1977,32,1,1,1,trailing_stop,0.3891,1.4215
2025-08-02 12:15,2025-08-02 22:30,long,1.00,3527.3000,3487.2400,-159.00,-1.5900,41,1,1,0,stop_loss,0.2123,0.8011
2025-08-02 13:15,2025-08-02 23:30,long,1.60,3528.7200,3488.6438,-159.00,-2.5440,41,1,1,0,stop_loss,0.3317,0.5759
2025-08-02 17:00,2025-08-03 03:15,long,1.00,3501.0200,3461.2584,-159.00,-1.5900,41,1,1,0,stop_loss,0.2297,1.1940
2025-08-02 18:00,2025-08-03 04:15,long,1.00,3482.6100,3443.0575,-159.00,-1.5900,41,1,1,0,stop_loss,0.2664,1.0356
2025-08-02 23:45,2025-08-03 10:00,long,4.00,3459.3300,3420.0419,-159.00,-6.3600,41,1,1,0,stop_loss,0.4820,0.5363
2025-08-03 04:00,2025-08-03 14:00,long,4.00,3404.0300,3439.4900,145.84,5.8336,40,0,1,1,trailing_stop,0.9254,0.6592
2025-08-03 05:00,2025-08-03 15:15,short,1.60,3409.7000,3448.4244,-159.00,-2.5440,41,1,1,0,stop_loss,0.4309,0.9626
2025-08-03 08:30,2025-08-03 18:00,long,4.00,3394.6700,3474.6872,330.00,13.2000,38,0,0,0,take_profit,0.6514,0.7427
2025-08-03 16:15,2025-08-04 02:45,short,1.60,3458.5900,3497.8697,-159.00,-2.5440,42,1,1,0,stop_loss,0.3258,0.7913
2025-08-03 18:15,2025-08-04 06:00,short,1.00,3470.4900,3509.9049,-159.00,-1.5900,47,1,1,0,stop_loss,0.2677,0.5431
2025-08-03 22:30,2025-08-04 06:15,long,1.60,3477.8700,3486.7700,35.83,0.5732,31,1,1,1,trailing_stop,0.3208,0.5927
2025-08-05 05:45,2025-08-05 16:00,long,1.00,3710.0200,3667.8848,-159.00,-1.5900,41,1,1,0,stop_loss,0.2437,1.3790
2025-08-05 19:15,2025-08-05 22:15,short,1.00,3683.5100,3596.6844,330.00,3.3000,12,0,0,0,take_profit,0.2971,1.0859
2025-08-05 22:45,2025-08-06 06:45,long,1.00,3577.8500,3597.0100,74.97,0.7497,32,1,1,1,trailing_stop,0.2740,0.6972
2025-08-05 23:15,2025-08-06 08:15,long,1.60,3571.3800,3592.5000,82.79,1.3247,36,1,1,1,trailing_stop,0.4097,1.4407
2025-08-06 02:00,2025-08-06 09:45,short,1.00,3598.7100,3592.3100,24.90,0.2490,31,1,1,1,trailing_stop,0.2213,0.8568
2025-08-06 02:45,2025-08-06 10:30,long,1.60,3587.6900,3589.9100,8.66,0.1386,31,1,1,1,trailing_stop,0.3173,0.8665
2025-08-06 09:30,2025-08-06 19:30,long,4.00,3579.5500,3625.9400,181.44,7.2574,40,0,1,1,trailing_stop,0.5058,0.6229
2025-08-06 12:15,2025-08-06 20:00,long,1.00,3579.2500,3594.6100,60.08,0.6008,31,1,1,1,trailing_stop,0.2765,0.5540
2025-08-06 16:45,2025-08-07 00:30,long,1.60,3622.1500,3643.2500,81.55,1.3049,31,1,1,1,trailing_stop,0.3033,0.8535
2025-08-06 19:00,2025-08-07 05:00,long,1.00,3620.9900,3675.9400,212.46,2.1246,40,0,1,1,trailing_stop,0.2417,0.5354
2025-08-07 00:00,2025-08-07 14:00,short,4.00,3650.7100,3692.1716,-159.00,-6.3600,56,1,1,0,stop_loss,0.5264,0.7290
2025-08-07 14:30,2025-08-07 18:00,long,1.60,3695.2300,3782.3319,330.00,5.2800,14,0,0,0,take_profit,0.3766,0.5158
2025-08-07 09:30,2025-08-07 19:30,short,4.00,3691.4800,3831.2289,-530.00,-21.2000,40,1,1,0,stop_loss,0.7546,0.5443
