重叠类型,信号1入场时间,信号1方向,信号1出场时间,信号1结果,信号1收益%,信号2入场时间,信号2方向,信号2出场时间,信号2结果,信号2收益%,合并收益%,合并盈亏(杠杆)
同向重叠-做空,2025-06-13 11:15,做空,2025-06-13 16:00,stop_loss,-1.67%,2025-06-13 15:30,做空,2025-06-13 16:45,take_profit,0.67%,-1.00%,-0.60%
同向重叠-做多,2025-06-14 23:45,做多,2025-06-15 07:30,take_profit,0.67%,2025-06-15 01:00,做多,2025-06-15 02:00,take_profit,0.67%,1.33%,+0.80%
同向重叠-做多,2025-06-14 23:45,做多,2025-06-15 07:30,take_profit,0.67%,2025-06-15 01:30,做多,2025-06-15 02:00,take_profit,0.67%,1.33%,+0.80%
同向重叠-做多,2025-06-15 01:00,做多,2025-06-15 02:00,take_profit,0.67%,2025-06-15 01:30,做多,2025-06-15 02:00,take_profit,0.67%,1.33%,+0.80%
同向重叠-做空,2025-06-17 08:30,做空,2025-06-17 11:00,stop_loss,-1.67%,2025-06-17 09:00,做空,2025-06-17 10:30,take_profit,0.67%,-1.00%,-0.60%
反向重叠-做空遇到做多,2025-06-17 08:30,做空,2025-06-17 11:00,stop_loss,-1.67%,2025-06-17 10:30,做多,2025-06-17 10:45,take_profit,0.67%,-1.00%,-0.60%
同向重叠-做多,2025-06-25 12:45,做多,2025-06-26 05:00,take_profit,0.67%,2025-06-25 23:00,做多,2025-06-26 03:15,take_profit,0.67%,1.33%,+0.80%
同向重叠-做多,2025-07-13 22:45,做多,2025-07-14 03:30,take_profit,0.67%,2025-07-14 01:00,做多,2025-07-14 02:15,take_profit,0.67%,1.33%,+0.80%
同向重叠-做多,2025-07-14 22:45,做多,2025-07-15 09:30,stop_loss,-1.67%,2025-07-15 08:45,做多,2025-07-15 11:15,stop_loss,-1.67%,-3.33%,-2.00%
同向重叠-做空,2025-07-26 10:30,做空,2025-07-27 02:15,take_profit,0.67%,2025-07-26 16:30,做空,2025-07-26 19:30,take_profit,0.67%,1.33%,+0.80%
反向重叠-做空遇到做多,2025-07-26 10:30,做空,2025-07-27 02:15,take_profit,0.67%,2025-07-26 19:00,做多,2025-07-27 06:15,take_profit,0.67%,1.33%,+0.80%
反向重叠-做空遇到做多,2025-07-26 16:30,做空,2025-07-26 19:30,take_profit,0.67%,2025-07-26 19:00,做多,2025-07-27 06:15,take_profit,0.67%,1.33%,+0.80%
同向重叠-做多,2025-08-15 01:45,做多,2025-08-15 05:45,stop_loss,-1.67%,2025-08-15 02:15,做多,2025-08-15 03:15,take_profit,0.67%,-1.00%,-0.60%
反向重叠-做多遇到做空,2025-08-15 01:45,做多,2025-08-15 05:45,stop_loss,-1.67%,2025-08-15 02:45,做空,2025-08-15 04:00,take_profit,0.67%,-1.00%,-0.60%
反向重叠-做多遇到做空,2025-08-15 02:15,做多,2025-08-15 03:15,take_profit,0.67%,2025-08-15 02:45,做空,2025-08-15 04:00,take_profit,0.67%,1.33%,+0.80%
同向重叠-做多,2025-08-15 23:45,做多,2025-08-16 01:45,take_profit,0.67%,2025-08-16 00:15,做多,2025-08-16 00:45,take_profit,0.67%,1.33%,+0.80%
反向重叠-做多遇到做空,2025-08-18 22:00,做多,2025-08-18 23:45,take_profit,0.67%,2025-08-18 23:00,做空,2025-08-19 08:30,take_profit,0.67%,1.33%,+0.80%
同向重叠-做空,2025-08-18 23:00,做空,2025-08-19 08:30,take_profit,0.67%,2025-08-19 00:00,做空,2025-08-19 00:30,take_profit,0.67%,1.33%,+0.80%
同向重叠-做多,2025-08-28 07:45,做多,2025-08-28 11:00,take_profit,0.67%,2025-08-28 08:30,做多,2025-08-28 10:00,take_profit,0.67%,1.33%,+0.80%
反向重叠-做空遇到做多,2025-08-29 23:15,做空,2025-08-30 09:45,take_profit,0.67%,2025-08-30 00:00,做多,2025-08-30 05:30,take_profit,0.67%,1.33%,+0.80%
同向重叠-做多,2025-09-04 23:15,做多,2025-09-05 06:45,take_profit,0.67%,2025-09-05 00:30,做多,2025-09-05 06:45,take_profit,0.67%,1.33%,+0.80%
同向重叠-做多,2025-09-04 23:15,做多,2025-09-05 06:45,take_profit,0.67%,2025-09-05 02:30,做多,2025-09-05 06:15,take_profit,0.67%,1.33%,+0.80%
同向重叠-做多,2025-09-04 23:15,做多,2025-09-05 06:45,take_profit,0.67%,2025-09-05 03:00,做多,2025-09-05 05:15,take_profit,0.67%,1.33%,+0.80%
同向重叠-做多,2025-09-05 00:30,做多,2025-09-05 06:45,take_profit,0.67%,2025-09-05 02:30,做多,2025-09-05 06:15,take_profit,0.67%,1.33%,+0.80%
同向重叠-做多,2025-09-05 00:30,做多,2025-09-05 06:45,take_profit,0.67%,2025-09-05 03:00,做多,2025-09-05 05:15,take_profit,0.67%,1.33%,+0.80%
同向重叠-做多,2025-09-05 02:30,做多,2025-09-05 06:15,take_profit,0.67%,2025-09-05 03:00,做多,2025-09-05 05:15,take_profit,0.67%,1.33%,+0.80%
同向重叠-做多,2025-10-11 18:45,做多,2025-10-12 03:30,stop_loss,-1.67%,2025-10-11 19:15,做多,2025-10-11 23:00,take_profit,0.67%,-1.00%,-0.60%
同向重叠-做空,2025-10-13 00:45,做空,2025-10-13 08:15,stop_loss,-1.67%,2025-10-13 01:15,做空,2025-10-13 01:45,take_profit,0.67%,-1.00%,-0.60%
同向重叠-做空,2025-10-14 03:15,做空,2025-10-14 09:00,take_profit,0.67%,2025-10-14 05:00,做空,2025-10-14 07:30,take_profit,0.67%,1.33%,+0.80%
同向重叠-做多,2025-10-15 17:30,做多,2025-10-15 20:00,stop_loss,-1.67%,2025-10-15 18:30,做多,2025-10-15 22:00,stop_loss,-1.67%,-3.33%,-2.00%
同向重叠-做多,2025-10-17 00:00,做多,2025-10-17 00:45,take_profit,0.67%,2025-10-17 00:30,做多,2025-10-17 00:45,take_profit,0.67%,1.33%,+0.80%
同向重叠-做空,2025-10-18 02:30,做空,2025-10-18 15:15,stop_loss,-1.67%,2025-10-18 09:30,做空,2025-10-19 16:15,take_profit,0.67%,-1.00%,-0.60%
同向重叠-做多,2025-11-04 16:15,做多,2025-11-04 19:00,take_profit,0.67%,2025-11-04 16:45,做多,2025-11-04 19:15,take_profit,0.67%,1.33%,+0.80%
同向重叠-做空,2025-11-05 19:15,做空,2025-11-05 21:30,stop_loss,-1.67%,2025-11-05 20:00,做空,2025-11-05 23:30,stop_loss,-1.67%,-3.33%,-2.00%
