交易编号,方向,K2/K1比例,入场时间,入场价格,出场时间,出场价格,持仓K线数,合约收益%,盈亏USDT,累计资金USDT,结果
115,做空,0.523,2025-04-12 22:00,1646.10,2025-04-13 01:00,1632.93,12,48.00,0.4800,4.8120,止盈
116,做空,0.624,2025-04-14 16:00,1630.73,2025-04-14 18:15,1657.96,9,-100.20,-1.0020,3.8100,止损
117,做多,0.648,2025-04-14 23:45,1627.93,2025-04-15 01:15,1640.95,6,48.00,0.4800,4.2900,止盈
118,做空,0.672,2025-04-15 18:00,1643.47,2025-04-15 18:30,1630.32,2,48.00,0.4800,4.7700,止盈
119,做多,0.627,2025-04-15 23:45,1621.02,2025-04-16 04:45,1593.95,20,-100.20,-1.0020,3.7680,止损
120,做空,0.642,2025-04-16 08:30,1586.69,2025-04-16 13:15,1574.00,19,48.00,0.4800,4.2480,止盈
121,做空,0.625,2025-04-17 15:30,1603.30,2025-04-17 18:00,1590.47,10,48.00,0.4800,4.7280,止盈
122,做多,0.526,2025-04-23 11:15,1787.85,2025-04-23 12:45,1802.15,6,48.00,0.4800,5.2080,止盈
123,做多,0.560,2025-04-25 01:45,1755.41,2025-04-25 04:00,1769.45,9,48.00,0.4800,5.6880,止盈
124,做空,0.700,2025-04-25 02:15,1758.72,2025-04-25 09:00,1788.09,27,-100.20,-1.0020,4.6860,止损
125,做空,0.515,2025-05-01 02:15,1780.38,2025-05-01 09:45,1810.11,30,-100.20,-1.0020,3.6840,止损
126,做空,0.555,2025-05-05 22:00,1803.50,2025-05-06 16:15,1789.07,73,48.00,0.4800,4.1640,止盈
127,做空,0.511,2025-05-09 09:15,2205.84,2025-05-09 11:15,2242.68,8,-100.20,-1.0020,3.1620,止损
128,做多,1.487,2025-05-09 18:15,2336.21,2025-05-09 19:15,2354.90,4,48.00,0.4800,3.6420,止盈
129,做多,1.343,2025-05-09 23:15,2302.01,2025-05-10 01:15,2320.43,8,48.00,0.4800,4.1220,止盈
130,做多,0.527,2025-05-10 04:45,2340.00,2025-05-10 08:15,2358.72,14,48.00,0.4800,4.6020,止盈
131,做多,1.310,2025-05-10 14:30,2358.38,2025-05-10 15:45,2377.25,5,48.00,0.4800,5.0820,止盈
132,做空,0.622,2025-05-11 02:15,2468.95,2025-05-11 05:00,2510.18,11,-100.20,-1.0020,4.0800,止损
133,做多,0.575,2025-05-13 10:15,2446.45,2025-05-13 15:00,2466.02,19,48.00,0.4800,4.5600,止盈
134,做多,1.190,2025-05-13 22:15,2552.01,2025-05-13 23:30,2572.43,5,48.00,0.4800,5.0400,止盈
135,做多,0.504,2025-05-17 05:30,2575.65,2025-05-17 06:45,2532.64,5,-100.20,-1.0020,4.0380,止损
136,做多,0.604,2025-05-17 09:15,2496.45,2025-05-17 10:15,2454.76,4,-100.20,-1.0020,3.0360,止损
137,做空,0.506,2025-05-18 22:00,2529.99,2025-05-18 23:30,2572.24,6,-100.20,-1.0020,2.0340,止损
138,做多,0.541,2025-05-20 02:00,2511.50,2025-05-20 04:30,2531.59,10,48.00,0.4800,2.5140,止盈
139,做空,0.533,2025-05-21 23:00,2564.94,2025-05-21 23:30,2544.42,2,48.00,0.4800,2.9940,止盈
140,做多,0.569,2025-05-22 05:30,2508.91,2025-05-22 06:30,2528.98,4,48.00,0.4800,3.4740,止盈
141,做空,0.555,2025-05-22 12:45,2628.11,2025-05-22 13:45,2607.09,4,48.00,0.4800,3.9540,止盈
142,做多,0.551,2025-05-22 21:15,2651.76,2025-05-22 22:30,2672.97,5,48.00,0.4800,4.4340,止盈
143,做空,0.561,2025-05-23 21:45,2582.28,2025-05-24 00:00,2561.62,9,48.00,0.4800,4.9140,止盈
144,做空,0.667,2025-05-27 16:15,2638.28,2025-05-27 21:15,2682.34,20,-100.20,-1.0020,3.9120,止损
145,做多,0.700,2025-05-27 20:15,2648.76,2025-05-27 21:00,2669.95,3,48.00,0.4800,4.3920,止盈
146,做多,0.665,2025-05-27 22:30,2660.49,2025-05-28 00:45,2681.77,9,48.00,0.4800,4.8720,止盈
147,做多,0.603,2025-05-28 14:15,2633.80,2025-05-28 19:45,2654.87,22,48.00,0.4800,5.3520,止盈
148,做空,0.553,2025-05-29 09:00,2710.95,2025-05-29 10:30,2756.22,6,-100.20,-1.0020,4.3500,止损
149,做多,0.619,2025-06-02 21:45,2504.67,2025-06-02 22:15,2524.71,2,48.00,0.4800,4.8300,止盈
150,做多,0.613,2025-06-06 05:00,2411.29,2025-06-06 05:30,2430.58,2,48.00,0.4800,5.3100,止盈
151,做多,0.664,2025-06-06 13:30,2458.97,2025-06-06 17:15,2478.64,15,48.00,0.4800,5.7900,止盈
152,做多,0.643,2025-06-10 21:45,2743.68,2025-06-10 23:30,2697.86,7,-100.20,-1.0020,4.7880,止损
153,做多,1.118,2025-06-13 21:45,2543.00,2025-06-14 00:00,2563.34,9,48.00,0.4800,5.2680,止盈
154,做多,0.694,2025-06-14 23:45,2519.42,2025-06-15 07:45,2539.58,32,48.00,0.4800,5.7480,止盈
155,做多,0.536,2025-06-15 01:00,2503.57,2025-06-15 05:45,2523.60,19,48.00,0.4800,6.2280,止盈
156,做多,0.602,2025-06-17 10:30,2573.31,2025-06-17 10:45,2593.90,1,48.00,0.4800,6.7080,止盈
157,做多,0.576,2025-06-17 18:45,2556.79,2025-06-17 23:00,2514.09,17,-100.20,-1.0020,5.7060,止损
158,做多,0.666,2025-06-22 10:00,2273.70,2025-06-22 13:15,2291.89,13,48.00,0.4800,6.1860,止盈
159,做空,1.326,2025-06-22 21:45,2199.93,2025-06-22 22:15,2182.33,2,48.00,0.4800,6.6660,止盈
160,做空,0.603,2025-06-23 08:45,2240.93,2025-06-23 21:30,2278.35,51,-100.20,-1.0020,5.6640,止损
161,做多,0.531,2025-06-24 00:30,2220.86,2025-06-24 01:00,2238.63,2,48.00,0.4800,6.1440,止盈
162,做多,1.391,2025-06-24 06:30,2395.30,2025-06-24 06:45,2414.46,1,48.00,0.4800,6.6240,止盈
163,做多,1.164,2025-06-25 23:00,2419.40,2025-06-26 03:15,2438.76,17,48.00,0.4800,7.1040,止盈
164,做多,0.617,2025-07-08 01:00,2531.13,2025-07-08 03:15,2551.38,9,48.00,0.4800,7.5840,止盈
165,做多,0.602,2025-07-12 20:45,2943.31,2025-07-13 14:30,2966.86,71,48.00,0.4800,8.0640,止盈
166,做空,0.530,2025-07-17 20:45,3425.61,2025-07-17 21:30,3398.21,3,48.00,0.4800,8.5440,止盈
167,做多,0.515,2025-07-18 00:30,3397.51,2025-07-18 01:45,3424.69,5,48.00,0.4800,9.0240,止盈
168,做空,0.626,2025-07-22 12:00,3720.37,2025-07-22 12:30,3690.61,2,48.00,0.4800,9.5040,止盈
169,做多,0.507,2025-07-22 22:00,3670.75,2025-07-22 22:45,3700.12,3,48.00,0.4800,9.9840,止盈
170,做空,0.593,2025-07-23 17:00,3681.40,2025-07-23 17:30,3651.95,2,48.00,0.4800,10.4640,止盈
171,做空,0.523,2025-07-25 14:45,3631.61,2025-07-25 15:45,3602.56,4,48.00,0.4800,10.9440,止盈
172,做空,0.537,2025-07-28 06:45,3864.13,2025-07-28 13:15,3928.66,26,-100.20,-1.0020,9.9420,止损
173,做空,0.639,2025-07-29 04:00,3781.25,2025-07-29 08:30,3751.00,18,48.00,0.4800,10.4220,止盈
174,做多,1.167,2025-07-30 23:00,3791.15,2025-07-31 02:00,3821.48,12,48.00,0.4800,10.9020,止盈
175,做空,0.627,2025-07-31 04:15,3768.84,2025-07-31 08:30,3831.78,17,-100.20,-1.0020,9.9000,止损
176,做多,0.605,2025-08-01 08:45,3682.10,2025-08-01 10:15,3711.56,6,48.00,0.4800,10.3800,止盈
177,做多,0.677,2025-08-01 22:00,3617.18,2025-08-01 22:15,3646.12,1,48.00,0.4800,10.8600,止盈
178,做空,0.677,2025-08-01 22:30,3628.27,2025-08-01 23:15,3599.24,3,48.00,0.4800,11.3400,止盈
179,做多,0.536,2025-08-02 23:45,3459.33,2025-08-03 02:15,3401.56,10,-100.20,-1.0020,10.3380,止损
180,做多,0.659,2025-08-03 04:00,3404.03,2025-08-03 05:00,3431.26,4,48.00,0.4800,10.8180,止盈
181,做多,0.623,2025-08-06 09:30,3579.55,2025-08-06 13:00,3608.19,14,48.00,0.4800,11.2980,止盈
182,做空,0.544,2025-08-07 09:30,3691.48,2025-08-07 10:00,3661.95,2,48.00,0.4800,11.7780,止盈
183,做多,0.652,2025-08-08 09:00,3914.21,2025-08-08 11:15,3945.52,9,48.00,0.4800,12.2580,止盈
184,做空,0.629,2025-08-12 16:45,4310.65,2025-08-12 18:00,4276.16,5,48.00,0.4800,12.7380,止盈
185,做空,0.502,2025-08-12 20:00,4281.49,2025-08-12 20:30,4352.99,2,-100.20,-1.0020,11.7360,止损
186,做多,0.628,2025-08-13 21:00,4707.72,2025-08-13 23:00,4629.10,8,-100.20,-1.0020,10.7340,止损
187,做多,0.521,2025-08-15 01:45,4548.78,2025-08-15 05:30,4472.82,15,-100.20,-1.0020,9.7320,止损
188,做空,0.672,2025-08-15 02:45,4537.97,2025-08-15 05:15,4501.67,10,48.00,0.4800,10.2120,止盈
189,做多,0.637,2025-08-15 20:30,4629.89,2025-08-15 21:45,4552.57,5,-100.20,-1.0020,9.2100,止损
190,做空,0.641,2025-08-16 01:45,4438.98,2025-08-16 02:45,4403.47,4,48.00,0.4800,9.6900,止盈
191,做多,0.689,2025-08-18 22:00,4313.57,2025-08-19 00:00,4348.08,8,48.00,0.4800,10.1700,止盈
192,做空,0.507,2025-08-18 23:00,4314.50,2025-08-19 06:15,4386.55,29,-100.20,-1.0020,9.1680,止损
