第一笔交易号,第一笔方向,第一笔入场,第一笔出场,第一笔持仓K线数,第一笔收益%,第一笔结果,第二笔交易号,第二笔方向,第二笔入场,第二笔出场,第二笔持仓K线数,第二笔收益%,第二笔结果,重叠类型,重叠开始,重叠结束,重叠时长(分钟),重叠K线数,第一笔重叠前已持仓K线数,综合收益%,第一笔合约收益%,第二笔合约收益%
512,做多,2025-06-14 23:45:00,2025-06-15 07:30:00,31,0.667,止盈,513,做多,2025-06-15 01:00:00,2025-06-15 02:00:00,4,0.667,止盈,双倍做多,2025-06-15 01:00:00,2025-06-15 02:00:00,60.0,4.0,5.0,1.334,40.0,40.0
512,做多,2025-06-14 23:45:00,2025-06-15 07:30:00,31,0.667,止盈,514,做多,2025-06-15 01:30:00,2025-06-15 02:00:00,2,0.667,止盈,双倍做多,2025-06-15 01:30:00,2025-06-15 02:00:00,30.0,2.0,7.0,1.334,40.0,40.0
513,做多,2025-06-15 01:00:00,2025-06-15 02:00:00,4,0.667,止盈,514,做多,2025-06-15 01:30:00,2025-06-15 02:00:00,2,0.667,止盈,双倍做多,2025-06-15 01:30:00,2025-06-15 02:00:00,30.0,2.0,2.0,1.334,40.0,40.0
519,做空,2025-06-17 08:30:00,2025-06-17 11:00:00,10,-1.667,止损,520,做空,2025-06-17 09:00:00,2025-06-17 10:30:00,6,0.667,止盈,双倍做空,2025-06-17 09:00:00,2025-06-17 10:30:00,90.0,6.0,2.0,-1.0,-100.0,40.0
519,做空,2025-06-17 08:30:00,2025-06-17 11:00:00,10,-1.667,止损,521,做多,2025-06-17 10:30:00,2025-06-17 10:45:00,1,0.667,止盈,方向冲突,2025-06-17 10:30:00,2025-06-17 10:45:00,15.0,1.0,8.0,-1.0,-100.0,40.0
552,做多,2025-07-13 22:45:00,2025-07-14 03:30:00,19,0.667,止盈,553,做多,2025-07-14 01:00:00,2025-07-14 02:15:00,5,0.667,止盈,双倍做多,2025-07-14 01:00:00,2025-07-14 02:15:00,75.0,5.0,9.0,1.334,40.0,40.0
569,做空,2025-07-20 23:00:00,2025-07-21 01:45:00,11,0.667,止盈,570,做空,2025-07-21 00:45:00,2025-07-21 01:00:00,1,0.667,止盈,双倍做空,2025-07-21 00:45:00,2025-07-21 01:00:00,15.0,1.0,7.0,1.334,40.0,40.0
586,做空,2025-07-25 01:15:00,2025-07-25 08:00:00,27,0.667,止盈,587,做空,2025-07-25 01:45:00,2025-07-25 07:15:00,22,0.667,止盈,双倍做空,2025-07-25 01:45:00,2025-07-25 07:15:00,330.0,22.0,2.0,1.334,40.0,40.0
592,做空,2025-07-26 16:30:00,2025-07-26 19:30:00,12,0.667,止盈,593,做多,2025-07-26 19:00:00,2025-07-27 06:15:00,45,0.667,止盈,方向冲突,2025-07-26 19:00:00,2025-07-26 19:30:00,30.0,2.0,10.0,1.334,40.0,40.0
595,做空,2025-07-29 04:00:00,2025-07-29 08:30:00,18,0.667,止盈,596,做空,2025-07-29 05:45:00,2025-07-29 08:30:00,11,0.667,止盈,双倍做空,2025-07-29 05:45:00,2025-07-29 08:30:00,165.0,11.0,7.0,1.334,40.0,40.0
599,做空,2025-07-30 09:45:00,2025-07-30 19:15:00,38,0.667,止盈,600,做空,2025-07-30 10:15:00,2025-07-30 17:30:00,29,0.667,止盈,双倍做空,2025-07-30 10:15:00,2025-07-30 17:30:00,435.0,29.0,2.0,1.334,40.0,40.0
604,做多,2025-08-01 08:15:00,2025-08-01 10:15:00,8,0.667,止盈,605,做多,2025-08-01 08:45:00,2025-08-01 10:00:00,5,0.667,止盈,双倍做多,2025-08-01 08:45:00,2025-08-01 10:00:00,75.0,5.0,2.0,1.334,40.0,40.0
610,做多,2025-08-02 23:45:00,2025-08-03 02:30:00,11,-1.667,止损,611,做空,2025-08-03 00:45:00,2025-08-03 01:45:00,4,0.667,止盈,方向冲突,2025-08-03 00:45:00,2025-08-03 01:45:00,60.0,4.0,4.0,-1.0,-100.0,40.0
620,做空,2025-08-06 23:00:00,2025-08-07 02:15:00,13,-1.667,止损,621,做空,2025-08-07 00:00:00,2025-08-07 09:30:00,38,-1.667,止损,双倍做空,2025-08-07 00:00:00,2025-08-07 02:15:00,135.0,9.0,4.0,-3.334,-100.0,-100.0
627,做空,2025-08-11 06:00:00,2025-08-11 09:30:00,14,-1.667,止损,628,做空,2025-08-11 08:30:00,2025-08-11 12:00:00,14,-1.667,止损,双倍做空,2025-08-11 08:30:00,2025-08-11 09:30:00,60.0,4.0,10.0,-3.334,-100.0,-100.0
630,做空,2025-08-12 14:30:00,2025-08-12 19:00:00,18,0.667,止盈,631,做空,2025-08-12 16:45:00,2025-08-12 18:00:00,5,0.667,止盈,双倍做空,2025-08-12 16:45:00,2025-08-12 18:00:00,75.0,5.0,9.0,1.334,40.0,40.0
635,做多,2025-08-13 21:00:00,2025-08-13 23:15:00,9,-1.667,止损,636,做多,2025-08-13 21:45:00,2025-08-13 22:30:00,3,0.667,止盈,双倍做多,2025-08-13 21:45:00,2025-08-13 22:30:00,45.0,3.0,3.0,-1.0,-100.0,40.0
639,做多,2025-08-15 01:45:00,2025-08-15 05:45:00,16,-1.667,止损,640,做多,2025-08-15 02:15:00,2025-08-15 03:15:00,4,0.667,止盈,双倍做多,2025-08-15 02:15:00,2025-08-15 03:15:00,60.0,4.0,2.0,-1.0,-100.0,40.0
639,做多,2025-08-15 01:45:00,2025-08-15 05:45:00,16,-1.667,止损,641,做空,2025-08-15 02:45:00,2025-08-15 04:00:00,5,0.667,止盈,方向冲突,2025-08-15 02:45:00,2025-08-15 04:00:00,75.0,5.0,4.0,-1.0,-100.0,40.0
640,做多,2025-08-15 02:15:00,2025-08-15 03:15:00,4,0.667,止盈,641,做空,2025-08-15 02:45:00,2025-08-15 04:00:00,5,0.667,止盈,方向冲突,2025-08-15 02:45:00,2025-08-15 03:15:00,30.0,2.0,2.0,1.334,40.0,40.0
645,做多,2025-08-15 23:45:00,2025-08-16 01:45:00,8,0.667,止盈,646,做多,2025-08-16 00:15:00,2025-08-16 00:45:00,2,0.667,止盈,双倍做多,2025-08-16 00:15:00,2025-08-16 00:45:00,30.0,2.0,2.0,1.334,40.0,40.0
650,做多,2025-08-18 22:00:00,2025-08-18 23:45:00,7,0.667,止盈,651,做空,2025-08-18 23:00:00,2025-08-19 08:30:00,38,0.667,止盈,方向冲突,2025-08-18 23:00:00,2025-08-18 23:45:00,45.0,3.0,4.0,1.334,40.0,40.0
651,做空,2025-08-18 23:00:00,2025-08-19 08:30:00,38,0.667,止盈,652,做空,2025-08-19 00:00:00,2025-08-19 00:30:00,2,0.667,止盈,双倍做空,2025-08-19 00:00:00,2025-08-19 00:30:00,30.0,2.0,4.0,1.334,40.0,40.0
673,做空,2025-08-27 22:30:00,2025-08-28 02:45:00,17,0.667,止盈,674,做空,2025-08-27 23:15:00,2025-08-28 00:30:00,5,0.667,止盈,双倍做空,2025-08-27 23:15:00,2025-08-28 00:30:00,75.0,5.0,3.0,1.334,40.0,40.0
675,做多,2025-08-28 07:45:00,2025-08-28 11:00:00,13,0.667,止盈,676,做多,2025-08-28 08:30:00,2025-08-28 10:00:00,6,0.667,止盈,双倍做多,2025-08-28 08:30:00,2025-08-28 10:00:00,90.0,6.0,3.0,1.334,40.0,40.0
677,做空,2025-08-29 23:15:00,2025-08-30 09:45:00,42,0.667,止盈,678,做多,2025-08-30 00:00:00,2025-08-30 05:30:00,22,0.667,止盈,方向冲突,2025-08-30 00:00:00,2025-08-30 05:30:00,330.0,22.0,3.0,1.334,40.0,40.0
687,做多,2025-09-04 23:15:00,2025-09-05 06:45:00,30,0.667,止盈,688,做多,2025-09-05 00:30:00,2025-09-05 06:45:00,25,0.667,止盈,双倍做多,2025-09-05 00:30:00,2025-09-05 06:45:00,375.0,25.0,5.0,1.334,40.0,40.0
688,做多,2025-09-05 00:30:00,2025-09-05 06:45:00,25,0.667,止盈,689,做多,2025-09-05 02:30:00,2025-09-05 06:15:00,15,0.667,止盈,双倍做多,2025-09-05 02:30:00,2025-09-05 06:15:00,225.0,15.0,8.0,1.334,40.0,40.0
688,做多,2025-09-05 00:30:00,2025-09-05 06:45:00,25,0.667,止盈,690,做多,2025-09-05 03:00:00,2025-09-05 05:15:00,9,0.667,止盈,双倍做多,2025-09-05 03:00:00,2025-09-05 05:15:00,135.0,9.0,10.0,1.334,40.0,40.0
689,做多,2025-09-05 02:30:00,2025-09-05 06:15:00,15,0.667,止盈,690,做多,2025-09-05 03:00:00,2025-09-05 05:15:00,9,0.667,止盈,双倍做多,2025-09-05 03:00:00,2025-09-05 05:15:00,135.0,9.0,2.0,1.334,40.0,40.0
