交易编号,方向,结果,K1柱体,突破力度比,K1开盘,K1最高,K1最低,K1收盘,K2开盘,K2最高,K2最低,K2收盘
698,做空,止损,7.519999999999982,-0.7154255319149099,1560.0,1569.09,1559.34,1567.52,1567.52,1569.84,1564.72,1567.2
1002,做多,止盈,20.210000000000036,-0.7154873824839194,2419.11,2444.44,2393.47,2398.9,2398.91,2429.98,2391.66,2411.29
1573,做多,止盈,63.42000000000007,-0.7160201829075971,4403.85,4405.51,4336.37,4340.43,4340.43,4360.1,4329.0,4339.36
1440,做多,止盈,31.100000000000364,-0.7167202572347171,4626.51,4634.53,4591.8,4595.41,4595.43,4612.24,4583.89,4605.36
810,做空,止盈,18.639999999999873,-0.7167381974249044,2216.59,2242.35,2212.56,2235.23,2235.23,2245.03,2225.92,2227.82
896,做多,止损,17.549999999999727,-0.717948717948724,2504.99,2505.5,2487.17,2487.44,2487.44,2492.9,2481.62,2492.89
436,做多,止盈,11.260000000000218,-0.7184724689165176,2106.82,2109.13,2094.75,2095.56,2095.56,2101.04,2090.11,2097.66
300,做多,止盈,17.480000000000018,-0.7191075514874228,2745.39,2753.51,2726.37,2727.91,2727.9,2740.94,2723.76,2736.65
1468,做空,止盈,22.5,-0.7195555555555782,4360.95,4385.2,4353.11,4383.45,4383.44,4394.97,4369.3,4370.49
966,做多,止盈,23.93000000000029,-0.7208524864187125,2657.4,2660.39,2633.46,2633.47,2633.47,2643.14,2621.26,2642.29
1701,做空,止损,20.460000000000036,-0.7209188660801551,3736.34,3757.69,3733.09,3756.8,3756.8,3763.26,3747.84,3756.59
1480,做多,止盈,19.859999999999673,-0.7210473313192318,4317.41,4319.32,4295.93,4297.55,4297.56,4305.0,4292.0,4301.45
623,做空,止盈,15.529999999999973,-0.7211848036059282,1800.15,1817.14,1800.0,1815.68,1815.69,1817.67,1811.2,1814.15
758,做空,止盈,8.839999999999918,-0.721719457013568,1795.51,1805.21,1795.2,1804.35,1804.35,1805.9,1801.58,1803.42
341,做空,止盈,23.090000000000146,-0.7223906453010042,2631.47,2655.5,2630.93,2654.56,2654.57,2658.66,2647.61,2650.51
211,做空,止盈,17.549999999999727,-0.7247863247863247,2707.53,2727.27,2703.27,2725.08,2725.08,2735.0,2715.99,2722.95
979,做多,止盈,11.789999999999964,-0.7260390161153881,2605.1,2608.3,2588.87,2593.31,2593.3,2599.74,2583.33,2594.45
1352,做多,止盈,27.48999999999978,-0.7264459803565083,4548.78,4551.7,4513.73,4521.29,4521.29,4531.73,4480.63,4529.99
481,做多,止盈,18.670000000000073,-0.7268344938403916,2174.3,2176.9,2155.49,2155.63,2155.67,2163.33,2152.33,2159.71
1465,做多,止盈,77.95999999999913,-0.7270395074397129,4349.98,4349.98,4271.28,4272.02,4272.02,4293.3,4262.0,4288.99
1109,做多,止盈,23.11999999999989,-0.7270761245674752,2440.52,2447.42,2414.0,2417.4,2417.4,2430.61,2409.51,2425.49
1712,做多,止盈,34.05000000000018,-0.7271659324522652,3636.78,3640.7,3586.0,3602.73,3602.74,3615.94,3582.29,3588.89
89,做空,止盈,88.82000000000016,-0.7278766043683852,3276.99,3366.0,3259.35,3365.81,3365.81,3389.28,3324.0,3352.01
196,做多,止盈,257.85000000000036,-0.7288345937560581,2749.84,2751.5,2400.0,2491.99,2493.89,2563.57,2125.01,2452.71
433,做多,止盈,69.69999999999982,-0.7291248206599755,2121.1,2126.02,2036.66,2051.4,2051.41,2075.2,2025.65,2056.46
1032,做多,止损,21.199999999999818,-0.7292452830188759,2818.71,2819.38,2781.45,2797.51,2797.5,2803.92,2775.0,2782.09
954,做多,止盈,12.710000000000036,-0.7293469708890602,2515.71,2517.0,2502.4,2503.0,2503.01,2507.73,2497.82,2505.99
576,做多,止盈,12.980000000000018,-0.7295839753466707,2086.28,2086.29,2072.63,2073.3,2073.29,2076.82,2067.67,2074.42
