排名,止损延迟(K线),止损延迟(分钟),K1涨跌幅%,总交易数,胜率%,总盈亏USDT,收益率%,盈亏比,平均持仓K线数
2503,15,225,0.14,3180,56.76,181.2980,5.70,1.33,29.6
2504,20,300,0.63,185,56.76,17.1525,9.27,1.54,21.0
2505,38,570,0.77,111,56.76,12.5830,11.34,1.66,30.6
2506,17,255,0.1,4120,56.75,231.8069,5.63,1.33,32.6
2507,12,180,0.18,2379,56.75,137.2749,5.77,1.33,26.5
2508,13,195,0.55,252,56.75,20.6353,8.19,1.47,18.0
2509,5,75,0.47,393,56.74,27.7707,7.07,1.41,15.3
2510,17,255,0.12,3654,56.73,206.2069,5.64,1.33,31.3
2511,8,120,0.54,268,56.72,20.7594,7.75,1.45,15.4
2512,9,135,0.54,268,56.72,20.7594,7.75,1.45,15.7
2513,8,120,0.26,1358,56.70,80.9854,5.96,1.34,22.3
2514,15,225,0.62,194,56.70,17.6248,9.08,1.52,17.9
2515,16,240,0.62,194,56.70,17.6248,9.08,1.52,18.9
2516,17,255,0.62,194,56.70,17.6248,9.08,1.52,19.4
2517,18,270,0.62,194,56.70,17.6248,9.08,1.52,19.9
2518,19,285,0.62,194,56.70,17.6248,9.08,1.52,20.4
2519,17,255,0.11,3886,56.69,217.4069,5.59,1.32,31.9
2520,20,300,0.67,157,56.69,15.1187,9.63,1.56,20.6
2521,7,105,0.24,1563,56.69,91.5013,5.85,1.34,22.4
2522,7,105,0.31,974,56.67,59.8944,6.15,1.35,19.4
2523,11,165,0.56,240,56.67,19.8353,8.26,1.48,15.8
2524,12,180,0.56,240,56.67,19.8353,8.26,1.48,16.8
2525,14,210,0.6,210,56.67,18.3934,8.76,1.51,17.5
2526,7,105,0.34,819,56.65,51.4944,6.29,1.36,18.7
2527,11,165,0.57,233,56.65,19.4353,8.34,1.48,15.9
2528,12,180,0.57,233,56.65,19.4353,8.34,1.48,16.9
2529,6,90,0.43,489,56.65,32.6624,6.68,1.39,16.4
2530,11,165,0.19,2248,56.63,128.0749,5.70,1.33,25.8
2531,14,210,0.16,2773,56.62,156.0199,5.63,1.32,28.1
2532,7,105,0.42,514,56.61,34.4856,6.71,1.39,16.9
2533,9,135,0.36,719,56.61,45.8058,6.37,1.37,19.6
2534,7,105,0.29,1124,56.58,67.0944,5.97,1.34,20.4
2535,15,225,0.13,3411,56.58,189.0069,5.54,1.32,30.0
2536,21,315,0.68,152,56.58,14.6280,9.62,1.55,21.3
2537,6,90,0.48,373,56.57,26.0205,6.98,1.40,15.4
2538,14,210,0.58,221,56.56,18.7142,8.47,1.49,18.1
2539,15,225,0.59,214,56.54,18.3923,8.59,1.49,18.8
2540,16,240,0.59,214,56.54,18.3923,8.59,1.49,19.7
2541,17,255,0.59,214,56.54,18.3923,8.59,1.49,20.2
2542,18,270,0.59,214,56.54,18.3923,8.59,1.49,20.7
2543,19,285,0.59,214,56.54,18.3923,8.59,1.49,21.2
2544,8,120,0.23,1670,56.53,95.3924,5.71,1.33,23.1
2545,23,345,0.7,138,56.52,14.1598,10.26,1.59,22.8
2546,24,360,0.7,138,56.52,14.1598,10.26,1.59,23.3
2547,25,375,0.7,138,56.52,14.1598,10.26,1.59,23.7
2548,4,60,0.47,393,56.49,26.9707,6.86,1.39,14.8
2549,7,105,0.33,871,56.49,53.0944,6.10,1.35,18.9
2550,13,195,0.17,2590,56.49,143.2749,5.53,1.32,27.5
2551,14,210,0.14,3180,56.48,174.0199,5.47,1.31,29.2
2552,7,105,0.25,1445,56.47,82.6944,5.72,1.33,22.2
2553,11,165,0.18,2379,56.45,131.6749,5.53,1.32,26.1
2554,38,570,0.74,124,56.45,13.2496,10.69,1.61,30.2
2555,10,150,0.2,2087,56.44,116.2949,5.57,1.32,25.0
2556,13,195,0.15,2966,56.44,161.9014,5.46,1.31,28.3
2557,14,210,0.61,202,56.44,17.5504,8.69,1.50,17.5
2558,21,315,0.64,179,56.42,16.1289,9.01,1.52,21.5
2559,6,90,0.42,514,56.42,33.6856,6.55,1.38,16.6
2560,7,105,0.32,927,56.42,55.4944,5.99,1.34,19.4
2561,38,570,0.75,117,56.41,12.7715,10.92,1.63,30.3
2562,7,105,0.3,1048,56.39,61.4944,5.87,1.34,20.0
2563,16,240,0.12,3654,56.38,195.8069,5.36,1.31,31.0
2564,7,105,0.39,612,56.37,38.5855,6.30,1.36,17.8
2565,6,90,0.31,974,56.37,57.4944,5.90,1.34,19.1
2566,16,240,0.1,4120,56.36,219.0069,5.32,1.30,32.3
2567,8,120,0.52,291,56.36,21.1713,7.28,1.42,15.4
2568,9,135,0.52,291,56.36,21.1713,7.28,1.42,15.8
2569,4,60,0.45,433,56.35,28.6426,6.61,1.38,14.8
2570,11,165,0.55,252,56.35,19.8353,7.87,1.45,16.4
2571,12,180,0.55,252,56.35,19.8353,7.87,1.45,17.4
2572,7,105,0.28,1182,56.35,67.8944,5.74,1.33,21.1
2573,16,240,0.11,3886,56.33,206.2069,5.31,1.30,31.6
2574,14,210,0.13,3411,56.32,181.7288,5.33,1.30,29.6
2575,9,135,0.22,1797,56.32,98.9924,5.51,1.32,23.9
2576,33,495,0.79,103,56.31,11.7707,11.43,1.65,29.0
2577,34,510,0.79,103,56.31,11.7707,11.43,1.65,29.4
2578,35,525,0.79,103,56.31,11.7707,11.43,1.65,29.7
2579,36,540,0.79,103,56.31,11.7707,11.43,1.65,30.1
2580,37,555,0.79,103,56.31,11.7707,11.43,1.65,30.5
2581,7,105,0.27,1277,56.30,72.2944,5.66,1.32,21.5
2582,9,135,0.21,1938,56.30,105.7924,5.46,1.31,24.4
2583,13,195,0.16,2773,56.29,148.4749,5.35,1.31,27.8
2584,6,90,0.34,819,56.29,49.0944,5.99,1.34,18.4
2585,7,105,0.37,677,56.28,41.5148,6.13,1.35,18.5
2586,10,150,0.19,2248,56.27,121.5902,5.41,1.31,25.4
2587,12,180,0.17,2590,56.25,138.4749,5.35,1.31,27.1
2588,7,105,0.38,640,56.25,39.3855,6.15,1.35,18.1
2589,10,150,0.56,240,56.25,19.0261,7.93,1.45,15.4
2590,20,300,0.66,160,56.25,14.7187,9.20,1.53,20.9
2591,6,90,0.24,1563,56.24,85.9013,5.50,1.31,22.1
2592,6,90,0.29,1124,56.23,63.8944,5.68,1.32,20.2
2593,15,225,0.1,4121,56.22,214.6069,5.21,1.30,32.0
2594,10,150,0.57,233,56.22,18.6261,7.99,1.46,15.5
2595,15,225,0.63,185,56.22,16.3525,8.84,1.50,18.1
2596,16,240,0.63,185,56.22,16.3525,8.84,1.50,19.1
2597,17,255,0.63,185,56.22,16.3525,8.84,1.50,19.7
2598,18,270,0.63,185,56.22,16.3525,8.84,1.50,20.2
