trade_id,strategy,contain,direction,entry_time,entry_price,exit_time,exit_price,bars_held,price_change_%,contract_return_%,pnl_usdt,cum_pnl_usdt,trailing_activated,weak,highest,lowest,trail_price_at_exit,k1_open,k1_high,k1_low,k1_close,k2_open,k2_high,k2_low,k2_close
219,rule1,否,做多,2025-06-09 06:59,2507.99,2025-06-10 00:29,2561.20,69,2.121,297.00,2.9700,432.7489,是,是,2570.76,2477.73,,2518.21,2520.47,2502.00,2512.59,2512.60,2513.90,2500.00,2507.99
220,rule1,否,做多,2025-06-10 01:14,2569.99,2025-06-10 05:29,2630.57,16,2.357,330.00,5.2800,438.0289,否,否,2640.10,2561.31,,2567.96,2570.00,2557.20,2558.10,2558.09,2571.40,2555.88,2569.99
221,rule1,否,做多,2025-06-10 08:14,2691.40,2025-06-10 19:29,2748.50,44,2.121,297.00,4.7520,442.7809,是,是,2763.00,2655.61,,2691.70,2693.99,2679.12,2680.13,2680.13,2695.00,2677.53,2691.40
222,rule1,否,做多,2025-06-10 21:59,2743.68,2025-06-11 06:14,2808.35,32,2.357,330.00,13.2000,455.9809,否,否,2817.84,2690.00,,2756.31,2761.77,2718.61,2720.90,2720.90,2747.92,2717.60,2743.68
223,rule1,否,做空,2025-06-11 06:44,2804.52,2025-06-12 06:29,2745.02,94,2.121,297.00,4.7520,460.7329,是,是,2879.22,2743.75,,2803.72,2818.62,2799.58,2814.49,2814.49,2827.00,2803.20,2804.52
224,rule1,否,做多,2025-06-12 13:14,2757.72,2025-06-13 08:14,2731.10,75,-0.965,-135.15,-2.1624,458.5705,是,是,2777.21,2534.04,,2753.01,2763.00,2752.00,2762.50,2762.51,2762.51,2751.59,2757.72
225,rule1,否,做多,2025-06-13 12:29,2512.20,2025-06-14 00:14,2565.49,46,2.121,297.00,11.8800,470.4505,是,是,2579.73,2492.00,,2514.32,2516.83,2498.20,2499.12,2499.11,2512.69,2495.22,2512.20
226,rule1,否,做多,2025-06-14 18:14,2527.12,2025-06-16 13:29,2580.73,172,2.121,297.00,2.9700,473.4205,是,是,2598.00,2488.72,,2529.44,2529.99,2522.00,2523.00,2523.00,2527.80,2518.51,2527.12
227,rule1,否,做空,2025-06-16 15:44,2627.35,2025-06-17 06:44,2571.61,59,2.121,297.00,2.9700,476.3905,是,是,2680.34,2556.28,,2630.19,2632.63,2618.61,2624.31,2624.31,2632.99,2622.58,2627.35
228,rule1,否,做空,2025-06-17 07:29,2575.00,2025-06-17 23:14,2520.37,62,2.121,297.00,11.8800,488.2705,是,是,2618.60,2509.36,,2570.29,2590.65,2560.00,2587.72,2587.72,2596.39,2570.21,2575.00
229,rule1,否,做空,2025-06-18 08:14,2517.62,2025-06-21 01:29,2464.21,260,2.121,297.00,4.7520,493.0225,是,是,2569.00,2406.29,,2518.04,2519.33,2509.50,2509.95,2509.95,2521.35,2509.95,2517.62
230,rule1,否,做空,2025-06-21 02:29,2418.99,2025-06-22 05:29,2367.67,107,2.121,297.00,4.7520,497.7745,是,是,2448.80,2300.50,,2419.41,2429.60,2412.88,2428.20,2428.19,2433.98,2416.71,2418.99
231,rule1,否,做空,2025-06-22 06:14,2300.44,2025-06-22 07:44,2246.22,5,2.357,330.00,13.2000,510.9745,否,否,2307.00,2216.00,,2298.80,2303.07,2274.43,2281.80,2281.80,2308.00,2279.50,2300.44
232,rule1,否,做多,2025-06-22 10:14,2273.70,2025-06-22 22:29,2251.75,48,-0.965,-135.15,-2.1624,508.8121,是,是,2298.22,2156.21,,2277.30,2284.75,2265.03,2266.50,2266.51,2285.45,2254.20,2273.70
233,rule1,否,做空,2025-06-23 00:14,2181.27,2025-06-23 04:14,2129.85,15,2.357,330.00,3.3000,512.1121,否,否,2219.95,2118.29,,2180.76,2186.00,2168.68,2174.91,2174.90,2188.34,2173.45,2181.27
234,rule1,否,做多,2025-06-23 05:44,2187.06,2025-06-23 08:29,2238.61,10,2.357,330.00,5.2800,517.3921,否,否,2239.28,2173.96,,2189.16,2195.38,2178.67,2179.64,2179.64,2187.48,2173.61,2187.06
