leverage,profit_target_percent,min_k1_range_percent,total_trades,wins,losses,win_rate,loss_rate,total_pnl,return_rate
70,100,0.35000000000000003,176,100,76,56.81818181818182,43.18181818181818,24.0,13.636363636363635
60,100,0.37,155,88,67,56.774193548387096,43.225806451612904,21.0,13.548387096774196
60,100,0.38,148,84,64,56.75675675675676,43.24324324324324,20.0,13.513513513513514
70,100,0.34,185,105,80,56.75675675675676,43.24324324324324,25.0,13.513513513513514
30,80,0.38,92,58,34,63.04347826086957,36.95652173913043,12.400000000000013,13.478260869565231
70,100,0.37,164,93,71,56.70731707317073,43.292682926829265,22.0,13.414634146341465
70,100,0.38,157,89,68,56.68789808917197,43.31210191082803,21.0,13.375796178343949
40,90,0.36,119,71,48,59.66386554621849,40.33613445378151,15.90000000000001,13.361344537815134
60,90,0.34,176,105,71,59.65909090909091,40.340909090909086,23.49999999999995,13.352272727272698
60,80,0.24,224,141,83,62.94642857142857,37.05357142857143,29.800000000000047,13.30357142857145
50,100,0.26,173,98,75,56.64739884393064,43.35260115606936,23.0,13.294797687861271
30,60,0.36,113,80,33,70.79646017699115,29.20353982300885,14.999999999999982,13.274336283185825
100,80,0.49,124,78,46,62.903225806451616,37.096774193548384,16.400000000000002,13.225806451612904
30,80,0.3,97,61,36,62.88659793814433,37.11340206185567,12.800000000000015,13.195876288659807
70,100,0.28,205,116,89,56.58536585365853,43.41463414634146,27.0,13.170731707317074
30,100,0.32,76,43,33,56.57894736842105,43.42105263157895,10.0,13.157894736842104
30,100,0.33,76,43,33,56.57894736842105,43.42105263157895,10.0,13.157894736842104
70,100,0.39,152,86,66,56.57894736842105,43.42105263157895,20.0,13.157894736842104
100,80,0.48,129,81,48,62.7906976744186,37.2093023255814,16.800000000000004,13.02325581395349
30,60,0.39,102,72,30,70.58823529411765,29.411764705882355,13.199999999999985,12.94117647058822
100,90,0.48,128,76,52,59.375,40.625,16.40000000000002,12.812500000000016
30,80,0.48,75,47,28,62.66666666666667,37.333333333333336,9.600000000000014,12.80000000000002
100,90,0.49,123,73,50,59.34959349593496,40.65040650406504,15.70000000000002,12.76422764227644
30,80,0.39,91,57,34,62.637362637362635,37.362637362637365,11.600000000000017,12.747252747252766
40,90,0.49,91,54,37,59.34065934065934,40.65934065934066,11.600000000000014,12.747252747252762
40,90,0.35000000000000003,118,70,48,59.32203389830508,40.67796610169492,15.000000000000009,12.711864406779668
30,100,0.4,71,40,31,56.33802816901409,43.66197183098591,9.0,12.676056338028168
40,90,0.5,86,51,35,59.30232558139535,40.69767441860465,10.900000000000013,12.674418604651178
30,70,0.49,83,55,28,66.26506024096386,33.734939759036145,10.49999999999999,12.650602409638543
60,90,0.35000000000000003,167,99,68,59.2814371257485,40.7185628742515,21.099999999999977,12.634730538922142
60,90,0.31,184,109,75,59.2391304347826,40.76086956521739,23.099999999999945,12.554347826086925
30,80,0.45,80,50,30,62.5,37.5,10.000000000000012,12.500000000000016
100,70,0.49,124,82,42,66.12903225806451,33.87096774193548,15.399999999999995,12.419354838709673
60,90,0.28,191,113,78,59.16230366492147,40.83769633507853,23.699999999999946,12.408376963350758
60,90,0.24,213,126,87,59.154929577464785,40.845070422535215,26.39999999999993,12.394366197183066
60,100,0.27,187,105,82,56.14973262032086,43.85026737967914,23.0,12.299465240641712
30,70,0.35000000000000003,106,70,36,66.0377358490566,33.9622641509434,12.99999999999999,12.264150943396217
30,80,0.43,85,53,32,62.35294117647059,37.64705882352941,10.400000000000016,12.235294117647078
