交易编号,方向,策略类型,入场时间,入场价格,出场时间,出场价格,持仓K线数,持仓分钟数,价格变动%,合约收益%,盈亏USDT
190,做空,rule1,2025-04-09 12:45:00,76416.34,2025-04-09 15:30:00,77944.67,11,165,-2.0,-100.0,-1.0
194,做空,rule2,2025-04-09 22:00:00,77370.04,2025-04-10 01:15:00,78917.44,13,195,-2.0,-100.0,-1.0
195,做空,rule1,2025-04-09 23:15:00,77392.0,2025-04-10 01:15:00,78939.84,8,120,-2.0,-100.0,-1.0
196,做空,rule2,2025-04-10 00:30:00,77839.99,2025-04-10 01:15:00,79396.79,3,45,-2.0,-100.0,-1.0
197,做空,rule1,2025-04-10 01:30:00,80955.0,2025-04-10 02:15:00,82574.1,3,45,-2.0,-100.0,-1.0
198,做多,rule2,2025-04-10 22:00:00,81103.48,2025-04-10 23:30:00,79481.41,6,90,-2.0,-100.0,-1.0
203,做空,rule1,2025-04-11 10:00:00,80316.64,2025-04-11 16:00:00,81922.97,24,360,-2.0,-100.0,-1.0
204,做空,rule1,2025-04-11 15:45:00,81266.76,2025-04-11 18:30:00,82892.1,11,165,-2.0,-100.0,-1.0
205,做空,rule1,2025-04-11 22:45:00,81898.0,2025-04-12 01:30:00,83535.96,11,165,-2.0,-100.0,-1.0
206,做空,rule1,2025-04-12 00:45:00,82792.46,2025-04-12 21:30:00,84448.31,83,1245,-2.0,-100.0,-1.0
211,做空,rule2,2025-04-14 06:00:00,83364.01,2025-04-14 08:15:00,85031.29,9,135,-2.0,-100.0,-1.0
215,做空,rule1,2025-04-15 00:45:00,84341.99,2025-04-15 21:30:00,86028.83,83,1245,-2.0,-100.0,-1.0
216,做多,rule1,2025-04-15 22:00:00,85774.51,2025-04-16 03:00:00,84059.02,20,300,-2.0,-100.0,-1.0
219,做空,rule1,2025-04-21 08:45:00,86625.68,2025-04-21 22:15:00,88358.19,54,810,-2.0,-100.0,-1.0
221,做空,rule1,2025-04-22 21:15:00,89617.14,2025-04-22 23:15:00,91409.48,8,120,-2.0,-100.0,-1.0
222,做空,rule1,2025-04-22 22:45:00,90797.73,2025-04-23 05:45:00,92613.68,28,420,-2.0,-100.0,-1.0
224,做空,rule2,2025-04-23 00:00:00,90809.52,2025-04-23 05:45:00,92625.71,23,345,-2.0,-100.0,-1.0
239,做多,rule1,2025-05-12 22:30:00,103448.99,2025-05-13 02:30:00,101380.01,16,240,-2.0,-100.0,-1.0
240,做多,rule1,2025-05-12 23:00:00,102946.56,2025-05-13 02:45:00,100887.63,15,225,-2.0,-100.0,-1.0
